,artista,listeners,playcount,biografia,artistas_similares
10,Dustin Lynch,207513,3368701,"Dustin Lynch is a country singer-songwriter from Tullahoma, Tennessee. He made the 90 mile move to Nashville in 2003 to attend David Lipscomb University, and rented an apartment near the Bluebird Cafe, a popular music venue for songwriters. Lynch regularly attended the Bluebird, gradually began writing and playing shows himself in the Music City as well as the neighboring college circuit. He eventually signed a publishing deal with Super 98/The Song Factory in 2010 and a record deal with Broken Bow Records the following year. <a href=""https://www.last.fm/music/Dustin+Lynch"">Read more on Last.fm</a>","['Russell Dickerson', 'Thomas Rhett', 'Cole Swindell', 'Lee Brice']"
11,Mother Mother,1451882,70694343,"Mother Mother is an indie rock band which formed in Quadra Island, British Columbia, Canada in 2005. The band consists of Ryan Guldemond (vocals, guitar), Molly Guldemond (vocals, keyboards), Jasmin Parkin (keyboards, vocals), Jeremy Page (bass) and Ali Saidat (drums). So far they have released eight albums: Touch Up (2007), O My Heart (2008), Eureka (2011), The Sticks (2012), Very Good Bad Thing (2015),  No Culture (2017), Dance And Cry (2018), and Inside (2021). <a href=""https://www.last.fm/music/Mother+Mother"">Read more on Last.fm</a>","['Fish in a Birdcage', 'I DONT KNOW HOW BUT THEY FOUND ME', 'Tally Hall', 'Cavetown']"
12,Jon Pardi,252105,6390398,"Jon Pardi is an American country music singer and songwriter. Pardi has charted 14 singles on the Billboard Hot Country Songs and Country Airplay charts, with four hitting #1 on the latter: ""Head Over Boots"", ""Dirt On My Boots"", ""Heartache Medication"", and ""Last Night Lonely"". Signed to Capitol Nashville, he has released four studio albums: Write You A Song (2014), California Sunrise (2016), Heartache Medication (2019), and Mr. Saturday Night (2022). Pardi's music style is defined by neotraditional country influences. <a href=""https://www.last.fm/music/Jon+Pardi"">Read more on Last.fm</a>","['Billy Currington', 'Lee Brice', 'Jake Owen', 'Jason Aldean']"
13,Tauren Wells,62457,1047773,"Tauren Gabriel Wells is an American Christian rock and pop artist and the former frontman for the American Christian pop rock band, Royal Tailor which produced two albums over a five-year career, which garnered two GRAMMY nominations and a New Artist of the Year award from the Gospel Music Association's Dove Awards. In 2014, Wells, along with his wife, launched the Prisma Worship Arts School, a private music academy with multiple locations in the Houston area. <a href=""https://www.last.fm/music/Tauren+Wells"">Read more on Last.fm</a>","['Jordan Feliz', 'Riley Clemmons', 'We the Kingdom', 'Crowder']"
14,Thomas Rhett,470164,11049416,"Thomas Rhett Akins, Jr. (born in Valdosta, Georgia) is an American country music singer known professionally as Thomas Rhett. He is the son of singer-songwriter Rhett Akins.[1]
Here is some background information on Thomas Rhett from the Something To Do With My Hands Songfacts. Thomas Rhett grew up in the music industry by means of his singer-songwriter father Rhett Akins. Whilst studying business and communications at Lipscomb University in Nashville, Rhett formed a cover band and began playing frat parties and other gigs they could get. <a href=""https://www.last.fm/music/Thomas+Rhett"">Read more on Last.fm</a>","['Jordan Davis', 'Dustin Lynch', 'Cole Swindell', 'Old Dominion']"
15,Midrift,316629,4649102,"Midrift is a California-based shoegaze band consisting of Gus Mehrkam, Manoa Neukermans, and Kai Neukermans <a href=""https://www.last.fm/music/Midrift"">Read more on Last.fm</a>","['Zeruel', 'Scarlet House', 'sodistilled', 'FlyingFish']"
16,for KING ,0,0," <a href=""https://www.last.fm/music/for+KING+"">Read more on Last.fm</a>",[]
17,Dylan Scott,138128,1927318,"Curb Records recording artist Dylan Scott is a triple threat — a powerful vocalist with a deep, unmistakable drawl; an old-soul songwriter with a young spirit; and a family man with a tender heart.

The multi-Platinum singer has notched two #1 singles at radio (“My Girl” and “Nobody”), as well as Top 5 hit “Hooked.” Following his first career nomination for “Best New Country Artist” at the all-genre iHeartRadio Music Awards and a coveted spot among Country Radio Seminar’s New Faces of Country Music <a href=""https://www.last.fm/music/Dylan+Scott"">Read more on Last.fm</a>","['Jordan Davis', 'Tyler Hubbard', 'Russell Dickerson', 'Cole Swindell']"
18,Depeche Mode,3749967,237925248,"Depeche Mode is an English band founded in 1980, originally from Basildon, Essex, United Kingdom. They are one of the most enduring and successful bands that emerged during the 80s, particularly from the new wave/new romantic era. The band name is derived from a French fashion magazine, Dépêche mode, which means ""fashion dispatch."" Also, from 2020 Depeche Mode is the most influential band in the world, having influenced hundreds of legendary bands like Rammstein, Nine Inch Nails, Linkin Park, Paradise Lost, Marilyn Manson or Lacuna Coil. <a href=""https://www.last.fm/music/Depeche+Mode"">Read more on Last.fm</a>","['Martin L. Gore', 'Dave Gahan', 'Recoil', 'Camouflage']"
19,Brantley Gilbert,276186,3888243,"Brantley Keith Gilbert (born January 20, 1985 in  Jefferson, GA) is a country rock singer, songwriter and record producer from Jefferson, Georgia. He was originally signed to Colt Ford's label, Average Joes Entertainment, where he released Modern Day Prodigal Son and Halfway to Heaven. He is now signed to the Valory division of Big Machine Records where he has released five studio albums—a deluxe edition of Halfway to Heaven, Just as I Am, The Devil Don't Sleep <a href=""https://www.last.fm/music/Brantley+Gilbert"">Read more on Last.fm</a>","['Justin Moore', 'Jason Aldean', 'Florida Georgia Line', 'Luke Bryan']"
20,Imagine Dragons,3381991,198613561,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","['OneRepublic', 'American Authors', 'Bastille', 'X Ambassadors']"
21,Big Thief,1118397,69021319,"Big Thief is an American indie rock band with folk roots. The band is based in Brooklyn, New York, and comprises Adrianne Lenker, Buck Meek, and Max Oleartchik
Big Thief's music, rooted in the songs of Adrianne Lenker, paints in vivid tones ""the process of harnessing pain, loss, and love, while simultaneously letting go, looking into your own eyes through someone else's, and being okay with the inevitability of death,"" says Adrianne.

 Masterpiece <a href=""https://www.last.fm/music/Big+Thief"">Read more on Last.fm</a>","['Adrianne Lenker', 'Buck Meek', 'Julia Jacklin', 'Haley Heynderickx']"
22,Ghost,1278802,108392042,"There are several artists sharing the moniker Ghost;

1) Ghost, also formerly known as Ghost B.C. in the United States, is a Swedish hard rock band that was formed in Linköping in 2006. In 2010, they released a three-track demo followed by a 7-inch vinyl titled ""Elizabeth"", and later their debut full-length album Opus Eponymous. The song ""Ritual"" was chosen by Kerrang! as one of ""The 50 Most Evil Songs Ever."" The Grammis-nominated album was widely praised and significantly increased their popularity. <a href=""https://www.last.fm/music/Ghost"">Read more on Last.fm</a>","['Powerwolf', 'Iron Maiden', 'Ozzy Osbourne', 'Avenged Sevenfold']"
23,SunKissed Lola,133704,2839383," <a href=""https://www.last.fm/music/SunKissed+Lola"">Read more on Last.fm</a>","['Lola Amour', 'Cup of Joe', 'Calein', 'NOBITA']"
24,Josiah and the Bonnevilles,147433,1869862,"Josiah and The Bonnevilles is American musician Josiah Leming (born March 26, 1989). <a href=""https://www.last.fm/music/Josiah+and+the+Bonnevilles"">Read more on Last.fm</a>","['Oliver Hazard', 'Caamp', 'Watchhouse', 'Hans Williams']"
25,Dustin Lynch,207513,3368701,"Dustin Lynch is a country singer-songwriter from Tullahoma, Tennessee. He made the 90 mile move to Nashville in 2003 to attend David Lipscomb University, and rented an apartment near the Bluebird Cafe, a popular music venue for songwriters. Lynch regularly attended the Bluebird, gradually began writing and playing shows himself in the Music City as well as the neighboring college circuit. He eventually signed a publishing deal with Super 98/The Song Factory in 2010 and a record deal with Broken Bow Records the following year. <a href=""https://www.last.fm/music/Dustin+Lynch"">Read more on Last.fm</a>","['Russell Dickerson', 'Thomas Rhett', 'Cole Swindell', 'Lee Brice']"
26,We Came As Romans,707516,22465648,"We Came as Romans (often abbreviated as WCAR) is an American metalcore band from Troy, Michigan. Formed in 2005, the band has undergone one name change and multiple line-up changes. In 2016, they signed with SharpTone Records after being part of the Equal Vision Records roster since 2009.

The band has released six studio albums:
To Plant a Seed (2009)
Understanding What We've Grown to Be (2011)
Tracing Back Roots (2013)
We Came as Romans (2015)
Cold Like War (2017) <a href=""https://www.last.fm/music/We+Came+As+Romans"">Read more on Last.fm</a>",[]
27,Stick Figure,233645,4597305,"Stick Figure is a reggae band from California. All music is created by singer Scott Woodruff. Until 2009 he lived in Duxbury, Massachusetts, as Stick Figure all alone. After a long trip to NZ and Bali, he 2011 moved to San Diego to put together a band. 2012 he released the 5th Stick Figure album, Burial Ground. It reached no. 1 on iTunes and Billboard Reggae charts, and has songs as 'Breathe' and 'Weight Of Sound (feat. TJ O'Neill) '. The band then toured in USA with other reggae groups. <a href=""https://www.last.fm/music/Stick+Figure"">Read more on Last.fm</a>","['Rebelution', 'Iration', 'Tribal Seeds', 'The Elovaters']"
28,quannnic,302798,9163151,"quannnic is an indietronica and shoegaze artist from Florida, United States. <a href=""https://www.last.fm/music/quannnic"">Read more on Last.fm</a>","['Jane Remover', 'FlyingFish', 'Glare', 'venturing']"
29,TobyMac,328728,6523748,"The Eye On It Songfacts reports that Eye On It, TobyMac's fifth full-length studio album was released on August 28, 2012. Said TobyMac regarding the album title: ""I want my music to depict what I'm going through. I want to write about the things that upset me, move me, hurt me and haunt me. The things that are real. With Tonight, I was determined to live more passionately with God. I was laying down the gauntlet. Eye On It is a continuation of that. <a href=""https://www.last.fm/music/TobyMac"">Read more on Last.fm</a>","['MercyMe', 'Newsboys', 'for KING & COUNTRY', 'Crowder']"
30,Stick Figure,233645,4597305,"Stick Figure is a reggae band from California. All music is created by singer Scott Woodruff. Until 2009 he lived in Duxbury, Massachusetts, as Stick Figure all alone. After a long trip to NZ and Bali, he 2011 moved to San Diego to put together a band. 2012 he released the 5th Stick Figure album, Burial Ground. It reached no. 1 on iTunes and Billboard Reggae charts, and has songs as 'Breathe' and 'Weight Of Sound (feat. TJ O'Neill) '. The band then toured in USA with other reggae groups. <a href=""https://www.last.fm/music/Stick+Figure"">Read more on Last.fm</a>","['Rebelution', 'Iration', 'Tribal Seeds', 'The Elovaters']"
31,The Black Keys,2956713,167745053,"The Black Keys is a blues-rock group from Akron, Ohio, United States which formed in 2001, consisting of singer and guitarist Dan Auerbach and drummer Patrick Carney. The band name was inspired by a schizophrenic artist and friend in Akron, who used the term ""black keys"" to describe things he disliked or people he did not trust. The Black Keys have roots in traditional blues and psychedelic rock stylings.

They released their first album, The Big Come Up, in 2002, followed by Thickfreakness in 2003, and Rubber Factory in 2004. <a href=""https://www.last.fm/music/The+Black+Keys"">Read more on Last.fm</a>","['Dan Auerbach', 'The Arcs', 'The Raconteurs', 'Black Pistol Fire']"
32,WET LEG,582052,13813465,"Wet Leg is British post-punk duo Rhian Teasdale and Hester Chambers from the Isle of Wight. 

Teasdale and Chambers met at music college and initially played in other bands before coming together to form Wet Leg. The duo's debut single, “Chaise Longue"", was inspired by Chambers’ grandfather’s chaise longue that she inherited. 

The duo is signed to indie label Domino. They performed at the 2021 Isle of Wight Festival. <a href=""https://www.last.fm/music/WET+LEG"">Read more on Last.fm</a>",[]
33,Mitchell Tenpenny,100958,1712772,"Mitchell was born and raised in Nashville Tennessee. He grew up around song writers and artist thriving in the Nashville music scene. Having family in the music industry instilled a musical drive to succeed and create music that tells a story and speaks true from the heart. From his soft timbre to his lyrics about life and love, Mitchell is truly one of Nashville's own. <a href=""https://www.last.fm/music/Mitchell+Tenpenny"">Read more on Last.fm</a>","['Jordan Davis', 'Russell Dickerson', 'Dylan Scott', 'Meghan Patrick']"
34,Chris Tomlin,343663,8419270,"Christopher Dwayne Tomlin (born May 4, 1972 in Grand Saline, TX) is a Christian worship leader/CCM artist. In 1999, Tomlin rose to recognition  joined on board as a worship leader for Atlanta pastor Louie Giglio’s annual Passion Conferences, along with other worship leaders such as Matt Redman, Charlie Hall, and eventually with Christy Nockels, Kristian Stanfill, and the David Crowder Band (now Crowder). Tomlin  was soon signed to Sparrow Records and EMI's sixstepsrecords where he began releasing his worship albums. <a href=""https://www.last.fm/music/Chris+Tomlin"">Read more on Last.fm</a>","['Matt Redman', 'Casting Crowns', 'Phil Wickham', 'Matt Maher']"
35,Vance Joy,1960553,38637974,"Vance Joy (born James Keogh in Melbourne) is an Australian singer-songwriter. His debut EP God Loves You When You're Dancing was released in March 2013. The single ""Riptide"" became a success on Australian commercial radio and was certified Platinum by the Australian Record Industry Association (ARIA). It was followed up by Dream Your Life Away, his first full-length album, in 2014, featuring the 2 singles from ""God Loves You When Your Dancing"" alongside many new songs <a href=""https://www.last.fm/music/Vance+Joy"">Read more on Last.fm</a>","['The Lumineers', 'George Ezra', 'The Head and the Heart', 'Mumford & Sons']"
36,Stick Figure,233645,4597305,"Stick Figure is a reggae band from California. All music is created by singer Scott Woodruff. Until 2009 he lived in Duxbury, Massachusetts, as Stick Figure all alone. After a long trip to NZ and Bali, he 2011 moved to San Diego to put together a band. 2012 he released the 5th Stick Figure album, Burial Ground. It reached no. 1 on iTunes and Billboard Reggae charts, and has songs as 'Breathe' and 'Weight Of Sound (feat. TJ O'Neill) '. The band then toured in USA with other reggae groups. <a href=""https://www.last.fm/music/Stick+Figure"">Read more on Last.fm</a>","['Rebelution', 'Iration', 'Tribal Seeds', 'The Elovaters']"
37,Papa Roach,3162384,102302194,"Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.

After two EPs, James left and was replaced by Tobin Esperance. The band independently released two more EPs before signing with DreamWorks Records in 1999, subsequently releasing the triple-platinum Infest in 2000, the gold album Lovehatetragedy in 2002 and the platinum album Getting Away with Murder in 2004. <a href=""https://www.last.fm/music/Papa+Roach"">Read more on Last.fm</a>","['P.O.D.', 'Shinedown', 'Saint Asonia', 'Three Days Grace']"
38,The 1975,2142748,219106564,"The 1975 is an English pop band formed in 2002 in Wilmslow, Cheshire. Now based in Manchester, the band consists of lead vocalist, producer, lyricist and rhythm guitarist Matty Healy (the son of actors Denise Welch and Tim Healy), lead guitarist Adam Hann, bassist Ross MacDonald, and drummer/producer George Daniel.

The band's origins trace to their attendance at secondary school and playing together as teenagers. Initial efforts to sign with a label failed, leading to the band's manager Jamie Oborne to form Dirty Hit records. <a href=""https://www.last.fm/music/The+1975"">Read more on Last.fm</a>","['Inhaler', 'Bleachers', 'The Band CAMINO', 'Catfish and the Bottlemen']"
39,TobyMac,328728,6523748,"The Eye On It Songfacts reports that Eye On It, TobyMac's fifth full-length studio album was released on August 28, 2012. Said TobyMac regarding the album title: ""I want my music to depict what I'm going through. I want to write about the things that upset me, move me, hurt me and haunt me. The things that are real. With Tonight, I was determined to live more passionately with God. I was laying down the gauntlet. Eye On It is a continuation of that. <a href=""https://www.last.fm/music/TobyMac"">Read more on Last.fm</a>","['MercyMe', 'Newsboys', 'for KING & COUNTRY', 'Crowder']"
40,TobyMac,328728,6523748,"The Eye On It Songfacts reports that Eye On It, TobyMac's fifth full-length studio album was released on August 28, 2012. Said TobyMac regarding the album title: ""I want my music to depict what I'm going through. I want to write about the things that upset me, move me, hurt me and haunt me. The things that are real. With Tonight, I was determined to live more passionately with God. I was laying down the gauntlet. Eye On It is a continuation of that. <a href=""https://www.last.fm/music/TobyMac"">Read more on Last.fm</a>","['MercyMe', 'Newsboys', 'for KING & COUNTRY', 'Crowder']"
41,Imagine Dragons,3381991,198613561,"Imagine Dragons are a pop band which formed in 2008 in Las Vegas, Nevada, United States. The band consists of Dan Reynolds (vocals), Wayne Sermon (guitar) and Ben McKee (bass) . The band released four EPs - ""Imagine Dragons"" (2009), ""Hell and Silence"" (2010), ""It's Time"" (2011) and ""Continued Silence"" (2012) - before releasing their debut full length album ""Night Visions"" on 4 September 2012.

The band's single ""It's Time"", which previously appeared on the ""It's Time"" and ""Continued Silence"" EPs in addition to appearing on ""Night Visions"" <a href=""https://www.last.fm/music/Imagine+Dragons"">Read more on Last.fm</a>","['OneRepublic', 'American Authors', 'Bastille', 'X Ambassadors']"
42,DENM,60460,315026,"With the release of his genre-hopping debut album, Slum Beach Denny, it’s time to add DENM to the storied list of Southern California’s musical ambassadors. And like his predecessors- Sublime, Dirty Heads, and Slightly Stoopid,- the musician, songwriter, and producer drops plenty of hazy daze optimism into his melting pot of youth culture and life experience, emerging with a 21st century soundtrack from SoCal’s sun-kissed sand, surf, and streets.    <a href=""https://www.last.fm/music/DENM"">Read more on Last.fm</a>","['The Elovaters', 'Tropidelic', 'The Movement', 'The Dirty Heads']"
43,Three Days Grace,3126325,126403966,"Three Days Grace are a Canadian rock band, formed under the name Groundswell in Norwood, Ontario, Canada in 1992. After a breakup in 1995, the band reformed in 1997 under its current name and with a line-up consisting of guitarist and lead vocalist Adam Gontier, drummer and backing vocalist Neil Sanderson, and bassist Brad Walst. In 2003, Barry Stock was recruited as the band's lead guitarist. The band has released seven studio albums, with a record fourteen #1 hits on Mainstream Rock. <a href=""https://www.last.fm/music/Three+Days+Grace"">Read more on Last.fm</a>","['Saint Asonia', 'Breaking Benjamin', 'Seether', 'Shinedown']"
44,Brantley Gilbert,276186,3888243,"Brantley Keith Gilbert (born January 20, 1985 in  Jefferson, GA) is a country rock singer, songwriter and record producer from Jefferson, Georgia. He was originally signed to Colt Ford's label, Average Joes Entertainment, where he released Modern Day Prodigal Son and Halfway to Heaven. He is now signed to the Valory division of Big Machine Records where he has released five studio albums—a deluxe edition of Halfway to Heaven, Just as I Am, The Devil Don't Sleep <a href=""https://www.last.fm/music/Brantley+Gilbert"">Read more on Last.fm</a>","['Justin Moore', 'Jason Aldean', 'Florida Georgia Line', 'Luke Bryan']"
45,Elton John,4369386,122956585,"Sir Elton Hercules John (born Reginald Kenneth Dwight; 25 March 1947) is a British singer, pianist, and composer. Collaborating with lyricist Bernie Taupin since 1967, John is one of the most successful artists of all time, having sold over 300 million records worldwide in a seven-decade career in music. He is acclaimed by critics and musicians, particularly for his work during the 1970s, and his lasting impact on the music industry. John's music and showmanship have had a significant impact on popular music. <a href=""https://www.last.fm/music/Elton+John"">Read more on Last.fm</a>","['Billy Joel', 'Rod Stewart', 'Paul McCartney', 'Queen']"
46,Rachael Lampa,56231,453511,"Rachael Maureen Lampa is an American contemporary Christian pop singer, born January 8, 1985 in Ann Arbor, Michigan.

She's been singing since she was a toddler, and was able to sing perfect harmony by age four. Singing too loud at the dinner table got her sent to her room more than once. At the age of 14, Rachael was discovered at a music conference in Colorado by Word Records producers Brown Bannister and Brent Bourgeois. Her debut album, Live For You released a year later in 2000.

Rachel is looking to be married to an undisclosed admirer. <a href=""https://www.last.fm/music/Rachael+Lampa"">Read more on Last.fm</a>","['Nichole Nordeman', 'Natalie Grant', 'Sara Groves', 'Britt Nicole']"
47,Papa Roach,3162384,102302194,"Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.

After two EPs, James left and was replaced by Tobin Esperance. The band independently released two more EPs before signing with DreamWorks Records in 1999, subsequently releasing the triple-platinum Infest in 2000, the gold album Lovehatetragedy in 2002 and the platinum album Getting Away with Murder in 2004. <a href=""https://www.last.fm/music/Papa+Roach"">Read more on Last.fm</a>","['P.O.D.', 'Shinedown', 'Saint Asonia', 'Three Days Grace']"
48,Josiah and the Bonnevilles,147433,1869862,"Josiah and The Bonnevilles is American musician Josiah Leming (born March 26, 1989). <a href=""https://www.last.fm/music/Josiah+and+the+Bonnevilles"">Read more on Last.fm</a>","['Oliver Hazard', 'Caamp', 'Watchhouse', 'Hans Williams']"
49,Eli Young Band,336767,3780115,"With roots firmly planted in the fertile musical soil of Texas, the Eli Young Band is a little bit country and a helluva lot of guitar-driven rock and roll. Their Carnival Recording Company debut, Level, finds them poised to bust out of the Lone Star State and bring their brand of music to a wider audience as they make inroads into neighboring states and the wider Nashville country scene.

The band was formed almost five years ago by Mike Eli who grew up just outside of Houston and James Young who hails from Irving, TX. <a href=""https://www.last.fm/music/Eli+Young+Band"">Read more on Last.fm</a>","['Lee Brice', 'Billy Currington', 'Jake Owen', 'Chris Young']"
50,Nickelback,3652296,110540156,"Nickelback is a rock band which formed in Hanna, Alberta, Canada in 1995. Nickelback is one of the most commercially successful Canadian groups, having sold 50 million records worldwide. Nickelback ranks as the 7th best selling music act of the 2000s and the 2nd best selling foreign act in the US behind The Beatles for the 2000s.

The band consists of Chad Kroeger (vocals, guitar), Ryan Peake (guitar, vocals), Mike Kroeger (bass) and Daniel Adair (drums). <a href=""https://www.last.fm/music/Nickelback"">Read more on Last.fm</a>","['Theory of a Deadman', 'Hinder', '3 Doors Down', 'Daughtry']"
51,Tauren Wells,62457,1047773,"Tauren Gabriel Wells is an American Christian rock and pop artist and the former frontman for the American Christian pop rock band, Royal Tailor which produced two albums over a five-year career, which garnered two GRAMMY nominations and a New Artist of the Year award from the Gospel Music Association's Dove Awards. In 2014, Wells, along with his wife, launched the Prisma Worship Arts School, a private music academy with multiple locations in the Houston area. <a href=""https://www.last.fm/music/Tauren+Wells"">Read more on Last.fm</a>","['Jordan Feliz', 'Riley Clemmons', 'We the Kingdom', 'Crowder']"
52,Nickelback,3652296,110540156,"Nickelback is a rock band which formed in Hanna, Alberta, Canada in 1995. Nickelback is one of the most commercially successful Canadian groups, having sold 50 million records worldwide. Nickelback ranks as the 7th best selling music act of the 2000s and the 2nd best selling foreign act in the US behind The Beatles for the 2000s.

The band consists of Chad Kroeger (vocals, guitar), Ryan Peake (guitar, vocals), Mike Kroeger (bass) and Daniel Adair (drums). <a href=""https://www.last.fm/music/Nickelback"">Read more on Last.fm</a>","['Theory of a Deadman', 'Hinder', '3 Doors Down', 'Daughtry']"
