,genero_musica,artista,listeners,playcount,biografia,artistas_similares
17,latino,Nacho,118078,1023250,"José Ignacio Torres nace en Santiago el 17 de junio de 1986. Su afición a la música viene desde niño, su padre lo hacia escuchar mucha, llegando a cantar algunos boleros junto a el en su infancia. A los 15 o 16 años su afición se volvio un poco más firme, aprendió a tocar guitarra, lo cual facilitó la inmersión en la musica. Más o menos hace 3 años, ""Nacho"" como le dicen todos sus amigos, transformo su aficion al canto en algo más serio <a href=""https://www.last.fm/music/Nacho"">Read more on Last.fm</a>","['ZenithLights', 'hkmori', 'lightmxchine', 'Yung Lain']"
18,latino,Mitú,37241,556204,"Mitú is what sounds like the meeting between Julián Salazar (guitarist of Bomba Estéreo) and Franklin Tejedor (son of that legendary percussionist of San Basilio de Palenque known as ""Lámpara""). Here the tribal rhythms of traditional Colombian percussion become deep beats of continental electronics; all framed in a postmodern ritual of porro, jungle, cumbia and synthpop of the full contemporary jungle. <a href=""https://www.last.fm/music/Mit%C3%BA"">Read more on Last.fm</a>","['Bomba Estéreo', 'Crudo Means Raw', 'Ela Minus', 'La Derecha']"
20,latino,Isabella Lovestory,119142,4181296,"Isabella Rodriguez Rivera, known professionally as Isabella Lovestory is a Honduran-born Canadian singer-songwriter, DJ, producer and jewellery designer. She is known for her creative lyricism and eclectic and wide range of styles.

Rodriguez grew up in Tegucigalpa, Honduras before moving to Burke, Virginia at the age of thirteen. Her mother, Wendy Rivera, is an architect and designed the house in which Isabella grew up in Honduras. Her father, Hector Rodriguez <a href=""https://www.last.fm/music/Isabella+Lovestory"">Read more on Last.fm</a>","['La Goony Chonga', 'Six Sex', 'Ms Nina', 'Bad Gyal']"
24,latino,Danny Ocean,363761,7364301,"
Daniel Morales, better known as Danny Ocean (formerly: Danny O.C.T.), is a Venezuelan singer and producer born in Caracas, Venezuela but resident of Miami, Florida. Began in music professionally around the year 2009 when he created his video channel on YouTube. He is best known for his song ""Me Rehúso"", released in September 2016, and relaunched in 2017 for its late success in several countries of Latin America, Europe and the United States, with an English version of it, called ""Baby I Won't"". <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>","['Lagos', 'Lasso', 'Piso 21', 'Manuel Turizo']"
26,latino,Luna Luna,117688,1486634,"Originally the sole project of Colombian born, Dallas bred Kavvi, Luna Luna grew into a four-piece through serendipitous meetings. Beginning his journey towards music as a 14-year-old tinkering with GarageBand on his iPhone, singer-songwriter Kavvi began recording under the Luna Luna moniker in 2017. Upon meeting Danny Bonilla after he asked him to stick around for his set at an open mic during where they shared the bill, it quickly became apparent that they felt drawn to expand into a duo. <a href=""https://www.last.fm/music/Luna+Luna"">Read more on Last.fm</a>","['Schandmaul', 'Mykey', 'Letzte Instanz', 'Subway to Sally']"
28,latino,Karol G,1041408,45673275,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004. <a href=""https://www.last.fm/music/Karol+G"">Read more on Last.fm</a>","['Natti Natasha', 'Becky G', 'Maria Becerra', 'Manuel Turizo']"
29,latino,Sofía Reyes,210935,2037462,"Sofia Reyes is a Mexican singer and songwriter who has been nominated twice to the Latin American Music Awards, MTV Europe Music Awards, Premios Juventud and Latin GRAMMYs among many others. She has amassed nearly one billion views on YouTube and two billion global streams with hits including 1,2,3 with Jason Derulo & De La Ghetto with more than 461 million streams and R.I.P featuring Rita Ora and Anitta, with more than 190 million streams. Chosen <a href=""https://www.last.fm/music/Sof%C3%ADa+Reyes"">Read more on Last.fm</a>","['Sofia Reyes', 'Becky G', 'Natti Natasha', 'Danna Paola']"
31,latino,Los Inconformes,667,2492," <a href=""https://www.last.fm/music/Los+Inconformes"">Read more on Last.fm</a>","['Niño Planeta', 'La Mancha del Jardin', 'De Nalgas', 'La Santísima Voladora']"
32,latino,Bebo Dumont,3268,13601," <a href=""https://www.last.fm/music/Bebo+Dumont"">Read more on Last.fm</a>","['Jambene', 'Motherflowers', 'LouJay', 'Comida Para Llevar']"
33,latino,bad gyal,316164,16852311,"Alba Farelo Solé (born 7 March 1997), known professionally as Bad Gyal, is a Spanish singer, songwriter, DJ and model. Known for her distinctive overall use of Auto-Tune, Bad Gyal has developed a strong cult following ever since her musical career began in 2016, with her uploading an interpretation of Rihanna's ""Work"", sung in Catalan, to YouTube. She continued to make music as an independent artist, releasing records like ""Indapanden"", ""Jacaranda"" and the popular ""Fiebre"". <a href=""https://www.last.fm/music/bad+gyal"">Read more on Last.fm</a>",[]
34,latino,Young Miko,220281,6824253,"Young Miko, como se conoce artísticamente, nació en Añasco, Puerto Rico. Es una talentosa artista con sonido propio que, con tan solo 24 años, se ha catalogado como una de las artistas femeninas con más potencial dentro de la escena musical actual, en Latinoamérica. La artista irrumpió en la escena al lanzar “105 Freestyle”, su primer sencillo, en colaboración con el reconocido productor Caleb Calloway. Abriendo camino propio dentro de la escena urbana <a href=""https://www.last.fm/music/Young+Miko"">Read more on Last.fm</a>","['Bad Bunny', 'Mora', 'Rels B', 'Cazzu']"
35,latino,2024 Hottest Songs,28,66," <a href=""https://www.last.fm/music/2024+Hottest+Songs"">Read more on Last.fm</a>",[]
36,latino,Von Galo,5816,37447," <a href=""https://www.last.fm/music/Von+Galo"">Read more on Last.fm</a>","['SBM', 'Mr. Pig', 'Glass Cristina', 'gordos']"
37,latino,Sog,12971,85110,"There are at least four bands with the name ""SOG"" or ""Sog"":

1.- German emo/hardcore from the 90's.
2.- Spanish Folk group.
3.- Alias of Woflgang Voigt (minimal techno). 2 releases (this alias) on Kompakt.
4. - Hungarian rapper from Bloose Broavaz. <a href=""https://www.last.fm/music/Sog"">Read more on Last.fm</a>","['Sebastien Bouchet', 'Gui Boratto Feat. Iggor Cavalera', 'Mugwump', 'Jatoma']"
39,latino,Piso 21,259152,4367018,"Juan David Castaño (el llanero), David Escobar (Dim), Juan David Huertas (El profe) y Pablo Mejía (Pablito), son los integrantes del grupo que ahora suena en las emisoras de la ciudad de medellin, Piso 21.

El mayor tiene solo 26 años y el menor 21. Son jóvenes, sí, pero ya son conscientes de su éxito y más que un grupo, ellos se consideran una familia, pues lo más importante, antes de cantar, es la unión y la lealtad a su amistad.

Todo <a href=""https://www.last.fm/music/Piso+21"">Read more on Last.fm</a>","['Manuel Turizo', 'Cali & El Dandee', 'Maluma', 'Mau y Ricky']"
41,latino,Mula,26440,209053,"MULA is the union of three girls from the Dominican Republic who fuse electronic music with Caribbean rhythms. Since its formation in 2015, they have released three albums and traveled through 12 countries taking their futuristic Caribbean to some of the most renowned festivals in Latin America and Europe. <a href=""https://www.last.fm/music/Mula"">Read more on Last.fm</a>","['YEИDRY', 'Julieta Venegas', 'Bomba Estéreo', 'Dos Santos']"
42,latino,Jarina De Marco,38074,162595,"Jarina De Marco: Born in the Dominican Republic, this Brooklyn based artist traveled the world as a child with her Dominican mother's Irka Mateo (noted musician and folkloric researcher) and Brazilian father's Tadeu De Marco (composer and band leader) Caribbean/Brazilian Jazz Fusion band. Growing up in Santo Domingo, Montreal, Brazil and finally Brooklyn, Jarina brings these diverse cultures together in her original Folkloric Tropical Pop. Jarina <a href=""https://www.last.fm/music/Jarina+De+Marco"">Read more on Last.fm</a>","['Betta Lemme', 'Sofia Reyes', 'Bomba Estéreo', 'Kiiara']"
43,latino,Calma Carmona,5984,32520,"With her music denominated as Latin Soul, Calma Carmona has a display of influences ranging from Sade, Theolonious Monk and Santana, Ismael Rivera, Al Green, even PJ Harvey, La Lupe and Tina Turner. Her sound is painted with subtlety and passion, seeking to attract listeners with every verse and chorus. In all the cities she has walked on, Calma has had the opportunity to digest local and musical vibrations. As a gypsy moving from place to place, the artist she is today is now looking to share everything with her audience. <a href=""https://www.last.fm/music/Calma+Carmona"">Read more on Last.fm</a>","['Charles Mission', 'Shannon K', 'Los Rarxs', 'Kings & Associates']"
44,latino,Beéle,66423,604652,"Brandon De Jesús López Orozco, mejor conocido como Beéle, es un cantante y autor enfocado en sonidos del caribe y el mundo urbano. Nacido en Barranquilla, Colombia, el cantante de 17 años empezó su carrera a los 13 años.

En el 2019, fue firmado por DJ Luian y Mambo Kingz: Hear This Music, con el tema “Loco” como su debut. Beéle ha colaborado con otros artistas, como Montano, Totoy, Farruko, Natti Natasha, Manuel Turizo, entre otros. <a href=""https://www.last.fm/music/Be%C3%A9le"">Read more on Last.fm</a>","['Kapo', 'ChocQuibTown', 'Jerry Di', 'Feid']"
45,latino,Black Guayaba,5948,49592,"La banda de rock puertorriqueña black:guayaba ya forma parte de la historia musical de Puerto Rico y se aprestan a contagiar con su música a los países a los que no ha llegado aún su indiscutible talento.


Con un sonido único e inigualable, el versátil grupo hace su entrada triunfal a la escena del rock de Puerto Rico cuando en el año 2000 se unieron, todos por un mismo sueño, sus integrantes Gustavo González (""Gust""), Javier Morales (""Javi""), Carlos Ortiz (""Toro""), Carlos Colón y Gabriel Calero (""Gaby""). <a href=""https://www.last.fm/music/Black+Guayaba"">Read more on Last.fm</a>","['Fiel a La Vega', ""Sol D' Menta"", 'Circo', 'Ignacio Peña']"
48,latino,Piquete,272,1137," <a href=""https://www.last.fm/music/Piquete"">Read more on Last.fm</a>","['CHUWI', 'Ana Macho', 'Los Rarxs', 'Bebo Dumont']"
49,latino,Cardi B,1837477,55313435,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>","['Latto', 'Megan Thee Stallion', 'GloRilla', 'Saweetie']"
51,latino,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
52,latino,Yandel,377251,6160535,"Yandel is half of the superstar reggaeton duo Wisin & Yandel, who enjoyed mainstream breakthrough success with Pa'l Mundo (2005). Born Llandel Veguilla Malavé on January 14, 1977, in Cayey, Puerto Rico, he and Wisin began performing as a duo in the late '90s (Yandel then billing himself as ""Llandel"") and made their album debut in 2000 with Los Reyes del Nuevo Milenio. They later made the jump to a major label in 2003 with Mi Vida... My Life, their first for Universal subsidiary Machete Music. <a href=""https://www.last.fm/music/Yandel"">Read more on Last.fm</a>","['Wisin', 'Wisin & Yandel', 'Daddy Yankee', 'De La Ghetto']"
53,latino,Bacilos,305015,3242089,"Bacilos was a latin music group based in Miami, Florida, United States.

The band was formed in 1995 by three students of the University of Miami and was named after the Spanish word for bacillus. Originally a quartet, the band drew influences from Cuban folk singer Silvio Rodríguez and Argentinian rock singer Fito Páez. The band eventually became a trio consisting of Colombian singer and guitarist Jorge Villamizar, bassist André Lopes and percussionist José Javier Freire before releasing an independent album Madera in 1999. <a href=""https://www.last.fm/music/Bacilos"">Read more on Last.fm</a>","['Juanes', 'Fonseca', 'Carlos Vives', 'Chayanne']"
54,latino,LA GENTE SF,26,75," <a href=""https://www.last.fm/music/LA+GENTE+SF"">Read more on Last.fm</a>",[]
55,latino,Belinda,396874,7409000,"Belinda Peregrín Schüll, known by artistic name Belinda (born August 15, 1989 in Madrid, Spain), is a Latin Grammy Award nominated Spanish-Mexican singer, songwriter, dancer and actress, who debuted in 2003 with the self-titled album, Belinda, under Sony BMG and RCA Records. Her international self-titled album Belinda as released in Mexico City, Mexico by BMG and RCA Records on August 5, 2003 and became a great a success in many different countries including Mexico, selling 2.5 million copies worldwide.  <a href=""https://www.last.fm/music/Belinda"">Read more on Last.fm</a>","['Paulina Rubio', 'Belanova', 'Paty Cantú', 'Anahí']"
56,latino,Yng Lvcas,230184,2550270,"Yng Lvcas es un artista tapatío de origen mexicano, nació el 24 de Octubre de 1999 
su gusto por el arte proviene desde pequeño después de verse envuelto en obras de teatro, graffiti, baile y, por supuesto, la música y el canto. A los 15 años de edad fue cuando decidió empezar a escribir debido a su gusto por el Rap y los Corridos, comenzando su carrera musical a principios del año 2020 con sub-géneros como el Trap y en género del Reggaetón <a href=""https://www.last.fm/music/Yng+Lvcas"">Read more on Last.fm</a>","['Peso Pluma', 'Ryan Castro', 'Bellakath', 'Nio Garcia']"
57,latino,Mint Field,46100,466443,"Mint Field is Mexican duo Amor Amezcua and Estrella Sanchez  from Tijuana.

Comprised of 21-year-olds Estrella Sanchez (vocals & guitar) and Amor Amezcua (drums & synths), Mint Field’s sound is organic, spacious, and inhabited by specters that lurk behind rhythms, where Estrella’s angelic voice evokes a supernatural world of beauty and melancholy.

Their record, Pasar De Las Luces, first for LA-based Innovative Leisure Records, is “a compilation of our lives from two years ago to now” says the band. <a href=""https://www.last.fm/music/Mint+Field"">Read more on Last.fm</a>","['unperro andaluz', 'Sonic Emerson', 'El Shirota', 'Margaritas Podridas']"
59,latino,Mario Bautista,51327,532862,"Mario Alberto Bautista Gil es un cantante y youtuber que nació en la Ciudad de México, el 5 de marzo de 1996. Actualmente vive solo en la Ciudad de México. Sus padres son Gloria Gil y Carlos Daniel Bautista; y sus hermanos son Luis Daniel y Jan Carlo Bautista.

Desde muy pequeño empezó a interesarse por la música y el baile, básicamente por que desciende de una familia de artistas.

En primaria empezó con sus clases de canto y baile, se enfoco en el Hip Hop. <a href=""https://www.last.fm/music/Mario+Bautista"">Read more on Last.fm</a>","['Carin Leon', 'Piso 21', 'Danna Paola', 'CD9']"
60,latino,Elena Rose,38355,273604,"Andrea Elena Mangiamarchi (Miami, 23 de marzo de 1995),1​ conocida por su nombre artístico Elena Rose, es una cantante, productora y compositora estadounidense-venezolana. Ha trabajado conBecky G, Rauw Alejandro, TINI, CNCO, Selena Gomez, Sech, entre otros. Su sencillo « Caracas en el 2000» junto a Danny Ocean y Jerry Di, alcanzó el puesto #3 en Spotify Venezuela. <a href=""https://www.last.fm/music/Elena+Rose"">Read more on Last.fm</a>","['Rawayana', 'Danny Ocean', 'Lagos', 'Mau y Ricky']"
61,latino,Lagos,89951,1693668,"LAGOS es un dueto venezolano formado por Luis Jiménez y Mr. A on the Beat (Agustín Zubillaga), quienes han sido a lo largo de más de 10 años productores y compositores para muchos artistas latinoamericanos. 

ACERCA DE LAGOS

Luis Jiménez tiene una carrera de más de 10 años en la industria musical como músico, productor, compositor y artista. Compositor y productor de canciones para Los Mesoneros, Jorge Blanco, Samo, Camilo Séptimo, Arawato, Ruby Tates, Danna Paola, Lasso, Javiera Mena, Maite Perroni, entre muchos más.  <a href=""https://www.last.fm/music/Lagos"">Read more on Last.fm</a>","['Los Mesoneros', 'Lasso', 'Danny Ocean', 'VINILOVERSUS']"
62,latino,BANG DATa,16274,99629,"Straight out of the Bay Area in early 2008 Bang Data was born, bringing you a mix of slick and melodic guitar, gritty synch & bass, over bang electro-acoustic rhythms; making this the perfect canvas for Deuce Eclipses bilingual rhymes and melodies. Bang Data's sound is a mash-up of styles combining hints of Latin, Reggae. Hip-Hop & Rock triggering memories of music we once grew up with yet offering a futuristic vision of Latin Alternative music. Everyone <a href=""https://www.last.fm/music/BANG+DATa"">Read more on Last.fm</a>","['The Trak Kartel', 'Pistolera', 'Jonaty Garcia', 'Trump']"
64,latino,Marc Seguí,134124,2175177," <a href=""https://www.last.fm/music/Marc+Segu%C3%AD"">Read more on Last.fm</a>","['Pol Granch', 'Álvaro De Luna', 'Samuraï', 'Recycled J']"
65,latino,Dannylux,107496,3943482,"Daniel Balderrama Espinoza (born March 12, 2004), better known by his stage name DannyLux, is an American singer-songwriter. He is well known for his hit song with Eslabon Armado called ""Jugaste y Sufrí"" which introduced him to the music industry, becoming one of the biggest new names in the regional Mexican genre. <a href=""https://www.last.fm/music/Dannylux"">Read more on Last.fm</a>","['Ivan Cornejo', 'T3r Elemento', 'Fuerza Regida', 'Herencia de Patrones']"
67,latino,Zion ,0,0," <a href=""https://www.last.fm/music/Zion+"">Read more on Last.fm</a>",[]
68,latino,Quevedo,264863,12791275,"Hay varios artistas registrados en Last.fm bajo el nombre de Quevedo, la siguiente lista los identifica por orden de relevancia:

1) Pedro Luis Domínguez Quevedo es un cantante de música urbana y rapero español radicado en Canarias.​​

2) Francisco Gómez de Quevedo Villegas y Santibáñez Cevallos fue un noble, político y escritor español del Siglo de Oro nacido en Madrid. Fue caballero de la Orden de Santiago a partir de 1618​ y señor de Torre de Juan Abad a partir de 1620. <a href=""https://www.last.fm/music/Quevedo"">Read more on Last.fm</a>","['Myke Towers', 'Jhayco', 'Feid', 'Tiago PZK']"
69,latino,Izaak,46324,539487,"Isaac Ortiz , mejor conocido como por su nombre artístico es iZaak, es un joven cantante y compositor boricua oriundo de Gurabo, Puerto Rico. Nació en el 1992. Ortiz comenzó a los tres (3) años a cantar en la Iglesia, ahí fue cuando descubrió su gran pasión por la música. <a href=""https://www.last.fm/music/Izaak"">Read more on Last.fm</a>","['Hades66', 'Super Yei', 'Ele A El Dominio', 'Chencho Corleone']"
70,latino,J Balvin,1323637,44470117,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton <a href=""https://www.last.fm/music/J+Balvin"">Read more on Last.fm</a>","['Maluma', 'Nicky Jam', 'Ozuna', 'Bad Bunny']"
71,latino,La Misa Negra,3797,23084," <a href=""https://www.last.fm/music/La+Misa+Negra"">Read more on Last.fm</a>","['QUITAPENAS', 'Santander Flores', 'Money Chicha', 'Very Be Careful']"
72,latino,Lp Certified,4,4," <a href=""https://www.last.fm/music/Lp+Certified"">Read more on Last.fm</a>",[]
73,latino,Kali Uchis,2276639,208181638,"Karly-Marina Loaiza, professionally known as Kali Uchis, is a Colombian-American singer-songwriter, record producer, music video director and fashion designer. She writes and produces most of her own music.

The stylistic range of left-field pop artist Kali Uchis is reflected in the variety of her collaborators – an extensive genre-crossing list that includes Tyler, the Creator, Gorillaz, Daniel Caesar, Juanes, and BadBadNotGood. A singer, songwriter <a href=""https://www.last.fm/music/Kali+Uchis"">Read more on Last.fm</a>","['SZA', 'Doja Cat', 'Victoria Monét', 'Omar Apollo']"
74,latino,Meridian Brothers,58214,748989,"Meridian Brothers is tropical / psychedelic group from Colombia. Born in Bogotá in 1998 and based on the musical interests of composer Eblis Alvarez, in the beginning, the project was focused exclusively on cassette recordings and experimentation with alternative ways of playing instruments and electronic media. 

From a conceptual band where Alvarez played all the instruments, Meridian Brothers evolved into a live combo that meets Maria Valencia (saxophone <a href=""https://www.last.fm/music/Meridian+Brothers"">Read more on Last.fm</a>","['Los Destellos', 'Ondatrópica', 'Bomba Estéreo', 'FRENTE CUMBIERO']"
75,latino,Similar,758,4299,"Similar is an Indie Pop Rock duo from Puerto Rico, formed in 2008 by Ariel Hernández Domenech and Daniel Vicente. <a href=""https://www.last.fm/music/Similar"">Read more on Last.fm</a>","['Sohcahtoa', 'Vcam', 'Jvox', 'Damiak']"
76,latino,Bad Bondy,7,7," <a href=""https://www.last.fm/music/Bad+Bondy"">Read more on Last.fm</a>",[]
77,latino,Tiago PZK,192217,7821183,"Tiago Uriel Pacheco, más conocido como Tiago PZK o simplemente Tiago, es un freestyler y artista de trap argentino. <a href=""https://www.last.fm/music/Tiago+PZK"">Read more on Last.fm</a>","['Lit Killah', 'FMK', 'Khea', 'Duki']"
78,latino,Tayko,6432,73694," <a href=""https://www.last.fm/music/Tayko"">Read more on Last.fm</a>","['Robert Tiamo', 'El Dojo', 'Gona', 'GEGGA']"
79,latino,BluNites,7581,40680," <a href=""https://www.last.fm/music/BluNites"">Read more on Last.fm</a>","['Wayword', 'Mona Vera', 'South Trees', 'Neptuna Run']"
81,latino,Candy Colors,1843,14478,"Candy Colors started back in 2009, it was originally conformed by Juan Loredo (our singer), Hermann Stoever (our bassist, who originally played synthesizers), Daniel Caudillo (Guitar) and Hugo De León (our original drummer). The project started out more electronic-focused ""party music"" inspired by all those little New Rave bands emerging through out the web. Later on I stepped on the scene as the other guitar player (my name is Diego Barrera) and from then we started experimenting with other sounds <a href=""https://www.last.fm/music/Candy+Colors"">Read more on Last.fm</a>","['Atlantis Waterfalls', 'The Dead Souls', 'In a Lonely Place', 'Lotus Feed']"
83,latino,Mayani Swave,149,504," <a href=""https://www.last.fm/music/Mayani+Swave"">Read more on Last.fm</a>","['DJ Scuff', 'Riccie Oriach', 'La Gran Mawon', 'Solo Fernández']"
84,latino,Siete Catorce,13995,73050,"Siete Catorce began as an alternate project of 22-year old producer Marco Polo Gutierrez. Though initially reminiscent of new cumbia, the project soon went on to form a unique and signature sound. His tracks’ have gained notoriety through their unique mesh of tropical rhythms, both old and new, coupled with intricate drum work –– influenced by styles like dubstep, drum n bass and footwork (to name a few) –– which are often characterized by a disquieting tone, exacerbated by poignant piano motifs and ominous atmospherics. <a href=""https://www.last.fm/music/Siete+Catorce"">Read more on Last.fm</a>","['Wartech', 'Fis', 'Panda Lassow', 'Braintheft']"
85,latino,Ozomatli,186387,1768640,"Ozomatli was formed in Los Angeles in 1995.  Ozomatli have gone from being hometown heroes to being named U.S. State Department Cultural Ambassadors.

Ozomatli has always juggled two key identities. They are the voice of their city and they are citizens of the world.

Their music — a notorious urban-Latino-and-beyond collision of hip hop and salsa, dancehall and cumbia, samba and funk, merengue and comparsa, East LA R&B and New Orleans second line <a href=""https://www.last.fm/music/Ozomatli"">Read more on Last.fm</a>","['Jurassic 5', 'Chali 2na', 'Blackalicious', 'Bomba Estéreo']"
