,artista,listeners,playcount,biografia,artistas_similares
10,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
11,Gente de Zona,212012,1858968,"These Cubatoneros (all around the age of 25) are combining two voices in one DJ: Ale Delgado, Jacob Forever and DJ Nando Pro. From the beginning on, Gente de Zona has always enjoyed a huge acceptance from their audience and within a couple of months they were playing in the trendiest Havanna Clubs such as Casa de la Musica de Galiano, Casa de la Musica de Miramar, Makumba, Johnny Dream and Delirio Habanero. At the moment Gente de Zona is the hottest act in Cuba and their fans are coming from far away to join the gigs.  <a href=""https://www.last.fm/music/Gente+de+Zona"">Read more on Last.fm</a>","['Jacob Forever', 'Wisin', 'Chino & Nacho', 'Nicky Jam']"
12,CHUWI,2473,32781,"Chuwi es una banda que se fundó en el 2019 por lxs hermanxs Willy, Lorén y Wester desde Isabela, Puerto Rico. Juntxs exploran diversos géneros para expresar los temas del luto, la esperanza y la subjetividad de ser Puertorriqueñx. <a href=""https://www.last.fm/music/CHUWI"">Read more on Last.fm</a>","['Sebimor', 'Ana Macho', 'PJ Sin Suela', 'Chango Menas']"
13,Ozuna,699408,19504356,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>","['Sech', 'Nicky Jam', 'Wisin', 'J Balvin']"
14,Gente de Zona,212012,1858968,"These Cubatoneros (all around the age of 25) are combining two voices in one DJ: Ale Delgado, Jacob Forever and DJ Nando Pro. From the beginning on, Gente de Zona has always enjoyed a huge acceptance from their audience and within a couple of months they were playing in the trendiest Havanna Clubs such as Casa de la Musica de Galiano, Casa de la Musica de Miramar, Makumba, Johnny Dream and Delirio Habanero. At the moment Gente de Zona is the hottest act in Cuba and their fans are coming from far away to join the gigs.  <a href=""https://www.last.fm/music/Gente+de+Zona"">Read more on Last.fm</a>","['Jacob Forever', 'Wisin', 'Chino & Nacho', 'Nicky Jam']"
15,Ozuna,699408,19504356,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>","['Sech', 'Nicky Jam', 'Wisin', 'J Balvin']"
16,CHUWI,2473,32781,"Chuwi es una banda que se fundó en el 2019 por lxs hermanxs Willy, Lorén y Wester desde Isabela, Puerto Rico. Juntxs exploran diversos géneros para expresar los temas del luto, la esperanza y la subjetividad de ser Puertorriqueñx. <a href=""https://www.last.fm/music/CHUWI"">Read more on Last.fm</a>","['Sebimor', 'Ana Macho', 'PJ Sin Suela', 'Chango Menas']"
17,Nacho,118078,1023250,"José Ignacio Torres nace en Santiago el 17 de junio de 1986. Su afición a la música viene desde niño, su padre lo hacia escuchar mucha, llegando a cantar algunos boleros junto a el en su infancia. A los 15 o 16 años su afición se volvio un poco más firme, aprendió a tocar guitarra, lo cual facilitó la inmersión en la musica. Más o menos hace 3 años, ""Nacho"" como le dicen todos sus amigos, transformo su aficion al canto en algo más serio <a href=""https://www.last.fm/music/Nacho"">Read more on Last.fm</a>","['ZenithLights', 'hkmori', 'lightmxchine', 'Yung Lain']"
18,Mitú,37241,556204,"Mitú is what sounds like the meeting between Julián Salazar (guitarist of Bomba Estéreo) and Franklin Tejedor (son of that legendary percussionist of San Basilio de Palenque known as ""Lámpara""). Here the tribal rhythms of traditional Colombian percussion become deep beats of continental electronics; all framed in a postmodern ritual of porro, jungle, cumbia and synthpop of the full contemporary jungle. <a href=""https://www.last.fm/music/Mit%C3%BA"">Read more on Last.fm</a>","['Bomba Estéreo', 'Crudo Means Raw', 'Ela Minus', 'La Derecha']"
19,Ozuna,699408,19504356,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>","['Sech', 'Nicky Jam', 'Wisin', 'J Balvin']"
20,Isabella Lovestory,119142,4181296,"Isabella Rodriguez Rivera, known professionally as Isabella Lovestory is a Honduran-born Canadian singer-songwriter, DJ, producer and jewellery designer. She is known for her creative lyricism and eclectic and wide range of styles.

Rodriguez grew up in Tegucigalpa, Honduras before moving to Burke, Virginia at the age of thirteen. Her mother, Wendy Rivera, is an architect and designed the house in which Isabella grew up in Honduras. Her father, Hector Rodriguez <a href=""https://www.last.fm/music/Isabella+Lovestory"">Read more on Last.fm</a>","['La Goony Chonga', 'Six Sex', 'Ms Nina', 'Bad Gyal']"
21,Ozuna,699408,19504356,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>","['Sech', 'Nicky Jam', 'Wisin', 'J Balvin']"
22,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
23,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
24,Danny Ocean,363761,7364301,"
Daniel Morales, better known as Danny Ocean (formerly: Danny O.C.T.), is a Venezuelan singer and producer born in Caracas, Venezuela but resident of Miami, Florida. Began in music professionally around the year 2009 when he created his video channel on YouTube. He is best known for his song ""Me Rehúso"", released in September 2016, and relaunched in 2017 for its late success in several countries of Latin America, Europe and the United States, with an English version of it, called ""Baby I Won't"". <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>","['Lagos', 'Lasso', 'Piso 21', 'Manuel Turizo']"
25,Ozuna,699408,19504356,"Juan Carlos Ozuna Rosado (born March 13, 1992), known simply by his surname Ozuna , is a Puerto Rican Latin trap and reggaeton singer who is regarded as the "" New King of Reggaeton"". He has released two successful albums Odisea (2017) and Aura (2018), and since the beginning of his career, he has sold around 15 million records, making him one of the best-selling Latin music artists of all time. He made his acting debut in the film Que León. <a href=""https://www.last.fm/music/Ozuna"">Read more on Last.fm</a>","['Sech', 'Nicky Jam', 'Wisin', 'J Balvin']"
26,Luna Luna,117688,1486634,"Originally the sole project of Colombian born, Dallas bred Kavvi, Luna Luna grew into a four-piece through serendipitous meetings. Beginning his journey towards music as a 14-year-old tinkering with GarageBand on his iPhone, singer-songwriter Kavvi began recording under the Luna Luna moniker in 2017. Upon meeting Danny Bonilla after he asked him to stick around for his set at an open mic during where they shared the bill, it quickly became apparent that they felt drawn to expand into a duo. <a href=""https://www.last.fm/music/Luna+Luna"">Read more on Last.fm</a>","['Schandmaul', 'Mykey', 'Letzte Instanz', 'Subway to Sally']"
27,Danny Ocean,363761,7364301,"
Daniel Morales, better known as Danny Ocean (formerly: Danny O.C.T.), is a Venezuelan singer and producer born in Caracas, Venezuela but resident of Miami, Florida. Began in music professionally around the year 2009 when he created his video channel on YouTube. He is best known for his song ""Me Rehúso"", released in September 2016, and relaunched in 2017 for its late success in several countries of Latin America, Europe and the United States, with an English version of it, called ""Baby I Won't"". <a href=""https://www.last.fm/music/Danny+Ocean"">Read more on Last.fm</a>","['Lagos', 'Lasso', 'Piso 21', 'Manuel Turizo']"
28,Karol G,1041408,45673275,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004. <a href=""https://www.last.fm/music/Karol+G"">Read more on Last.fm</a>","['Natti Natasha', 'Becky G', 'Maria Becerra', 'Manuel Turizo']"
29,Sofía Reyes,210935,2037462,"Sofia Reyes is a Mexican singer and songwriter who has been nominated twice to the Latin American Music Awards, MTV Europe Music Awards, Premios Juventud and Latin GRAMMYs among many others. She has amassed nearly one billion views on YouTube and two billion global streams with hits including 1,2,3 with Jason Derulo & De La Ghetto with more than 461 million streams and R.I.P featuring Rita Ora and Anitta, with more than 190 million streams. Chosen <a href=""https://www.last.fm/music/Sof%C3%ADa+Reyes"">Read more on Last.fm</a>","['Sofia Reyes', 'Becky G', 'Natti Natasha', 'Danna Paola']"
30,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
31,Los Inconformes,667,2492," <a href=""https://www.last.fm/music/Los+Inconformes"">Read more on Last.fm</a>","['Niño Planeta', 'La Mancha del Jardin', 'De Nalgas', 'La Santísima Voladora']"
32,Bebo Dumont,3268,13601," <a href=""https://www.last.fm/music/Bebo+Dumont"">Read more on Last.fm</a>","['Jambene', 'Motherflowers', 'LouJay', 'Comida Para Llevar']"
33,bad gyal,316164,16852311,"Alba Farelo Solé (born 7 March 1997), known professionally as Bad Gyal, is a Spanish singer, songwriter, DJ and model. Known for her distinctive overall use of Auto-Tune, Bad Gyal has developed a strong cult following ever since her musical career began in 2016, with her uploading an interpretation of Rihanna's ""Work"", sung in Catalan, to YouTube. She continued to make music as an independent artist, releasing records like ""Indapanden"", ""Jacaranda"" and the popular ""Fiebre"". <a href=""https://www.last.fm/music/bad+gyal"">Read more on Last.fm</a>",[]
34,Young Miko,220281,6824253,"Young Miko, como se conoce artísticamente, nació en Añasco, Puerto Rico. Es una talentosa artista con sonido propio que, con tan solo 24 años, se ha catalogado como una de las artistas femeninas con más potencial dentro de la escena musical actual, en Latinoamérica. La artista irrumpió en la escena al lanzar “105 Freestyle”, su primer sencillo, en colaboración con el reconocido productor Caleb Calloway. Abriendo camino propio dentro de la escena urbana <a href=""https://www.last.fm/music/Young+Miko"">Read more on Last.fm</a>","['Bad Bunny', 'Mora', 'Rels B', 'Cazzu']"
35,2024 Hottest Songs,28,66," <a href=""https://www.last.fm/music/2024+Hottest+Songs"">Read more on Last.fm</a>",[]
36,Von Galo,5816,37447," <a href=""https://www.last.fm/music/Von+Galo"">Read more on Last.fm</a>","['SBM', 'Mr. Pig', 'Glass Cristina', 'gordos']"
37,Sog,12971,85110,"There are at least four bands with the name ""SOG"" or ""Sog"":

1.- German emo/hardcore from the 90's.
2.- Spanish Folk group.
3.- Alias of Woflgang Voigt (minimal techno). 2 releases (this alias) on Kompakt.
4. - Hungarian rapper from Bloose Broavaz. <a href=""https://www.last.fm/music/Sog"">Read more on Last.fm</a>","['Sebastien Bouchet', 'Gui Boratto Feat. Iggor Cavalera', 'Mugwump', 'Jatoma']"
38,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
39,Piso 21,259152,4367018,"Juan David Castaño (el llanero), David Escobar (Dim), Juan David Huertas (El profe) y Pablo Mejía (Pablito), son los integrantes del grupo que ahora suena en las emisoras de la ciudad de medellin, Piso 21.

El mayor tiene solo 26 años y el menor 21. Son jóvenes, sí, pero ya son conscientes de su éxito y más que un grupo, ellos se consideran una familia, pues lo más importante, antes de cantar, es la unión y la lealtad a su amistad.

Todo <a href=""https://www.last.fm/music/Piso+21"">Read more on Last.fm</a>","['Manuel Turizo', 'Cali & El Dandee', 'Maluma', 'Mau y Ricky']"
40,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
41,Mula,26440,209053,"MULA is the union of three girls from the Dominican Republic who fuse electronic music with Caribbean rhythms. Since its formation in 2015, they have released three albums and traveled through 12 countries taking their futuristic Caribbean to some of the most renowned festivals in Latin America and Europe. <a href=""https://www.last.fm/music/Mula"">Read more on Last.fm</a>","['YEИDRY', 'Julieta Venegas', 'Bomba Estéreo', 'Dos Santos']"
42,Jarina De Marco,38074,162595,"Jarina De Marco: Born in the Dominican Republic, this Brooklyn based artist traveled the world as a child with her Dominican mother's Irka Mateo (noted musician and folkloric researcher) and Brazilian father's Tadeu De Marco (composer and band leader) Caribbean/Brazilian Jazz Fusion band. Growing up in Santo Domingo, Montreal, Brazil and finally Brooklyn, Jarina brings these diverse cultures together in her original Folkloric Tropical Pop. Jarina <a href=""https://www.last.fm/music/Jarina+De+Marco"">Read more on Last.fm</a>","['Betta Lemme', 'Sofia Reyes', 'Bomba Estéreo', 'Kiiara']"
43,Calma Carmona,5984,32520,"With her music denominated as Latin Soul, Calma Carmona has a display of influences ranging from Sade, Theolonious Monk and Santana, Ismael Rivera, Al Green, even PJ Harvey, La Lupe and Tina Turner. Her sound is painted with subtlety and passion, seeking to attract listeners with every verse and chorus. In all the cities she has walked on, Calma has had the opportunity to digest local and musical vibrations. As a gypsy moving from place to place, the artist she is today is now looking to share everything with her audience. <a href=""https://www.last.fm/music/Calma+Carmona"">Read more on Last.fm</a>","['Charles Mission', 'Shannon K', 'Los Rarxs', 'Kings & Associates']"
44,Beéle,66423,604652,"Brandon De Jesús López Orozco, mejor conocido como Beéle, es un cantante y autor enfocado en sonidos del caribe y el mundo urbano. Nacido en Barranquilla, Colombia, el cantante de 17 años empezó su carrera a los 13 años.

En el 2019, fue firmado por DJ Luian y Mambo Kingz: Hear This Music, con el tema “Loco” como su debut. Beéle ha colaborado con otros artistas, como Montano, Totoy, Farruko, Natti Natasha, Manuel Turizo, entre otros. <a href=""https://www.last.fm/music/Be%C3%A9le"">Read more on Last.fm</a>","['Kapo', 'ChocQuibTown', 'Jerry Di', 'Feid']"
45,Black Guayaba,5948,49592,"La banda de rock puertorriqueña black:guayaba ya forma parte de la historia musical de Puerto Rico y se aprestan a contagiar con su música a los países a los que no ha llegado aún su indiscutible talento.


Con un sonido único e inigualable, el versátil grupo hace su entrada triunfal a la escena del rock de Puerto Rico cuando en el año 2000 se unieron, todos por un mismo sueño, sus integrantes Gustavo González (""Gust""), Javier Morales (""Javi""), Carlos Ortiz (""Toro""), Carlos Colón y Gabriel Calero (""Gaby""). <a href=""https://www.last.fm/music/Black+Guayaba"">Read more on Last.fm</a>","['Fiel a La Vega', ""Sol D' Menta"", 'Circo', 'Ignacio Peña']"
46,CHUWI,2473,32781,"Chuwi es una banda que se fundó en el 2019 por lxs hermanxs Willy, Lorén y Wester desde Isabela, Puerto Rico. Juntxs exploran diversos géneros para expresar los temas del luto, la esperanza y la subjetividad de ser Puertorriqueñx. <a href=""https://www.last.fm/music/CHUWI"">Read more on Last.fm</a>","['Sebimor', 'Ana Macho', 'PJ Sin Suela', 'Chango Menas']"
47,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
48,Piquete,272,1137," <a href=""https://www.last.fm/music/Piquete"">Read more on Last.fm</a>","['CHUWI', 'Ana Macho', 'Los Rarxs', 'Bebo Dumont']"
49,Cardi B,1837477,55313435,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>","['Latto', 'Megan Thee Stallion', 'GloRilla', 'Saweetie']"
50,Mima,11512,93804,"	
Yarimir Cabán, MiMa, nace en Santurce, Puerto Rico. Es cantante y compositora de temas principalmente en español. La experimentación que la cantautora cultiva en los escenarios hace diversas alusiones a la música y predomina un acercamiento de carácter acústico que se puede ubicar entre el Folk, el Jazz y el Lounge. Sus composiciones son versátiles, originales y de variadas influencias destacándose entre ellas la Música Popular Brasileira (MPB) el Filin cubano y el rock (específicamente el conosureño de los ‘80). <a href=""https://www.last.fm/music/Mima"">Read more on Last.fm</a>","['Superaquello', 'Circo', 'CHUWI', 'Chango Menas']"
51,ÌFÉ,15344,85209," <a href=""https://www.last.fm/music/%C3%8CF%C3%89"">Read more on Last.fm</a>","['Rumbo Tumba', 'Ghetto Kumbé', 'Paloma del Cerro', 'Mima']"
52,Yandel,377251,6160535,"Yandel is half of the superstar reggaeton duo Wisin & Yandel, who enjoyed mainstream breakthrough success with Pa'l Mundo (2005). Born Llandel Veguilla Malavé on January 14, 1977, in Cayey, Puerto Rico, he and Wisin began performing as a duo in the late '90s (Yandel then billing himself as ""Llandel"") and made their album debut in 2000 with Los Reyes del Nuevo Milenio. They later made the jump to a major label in 2003 with Mi Vida... My Life, their first for Universal subsidiary Machete Music. <a href=""https://www.last.fm/music/Yandel"">Read more on Last.fm</a>","['Wisin', 'Wisin & Yandel', 'Daddy Yankee', 'De La Ghetto']"
53,Bacilos,305015,3242089,"Bacilos was a latin music group based in Miami, Florida, United States.

The band was formed in 1995 by three students of the University of Miami and was named after the Spanish word for bacillus. Originally a quartet, the band drew influences from Cuban folk singer Silvio Rodríguez and Argentinian rock singer Fito Páez. The band eventually became a trio consisting of Colombian singer and guitarist Jorge Villamizar, bassist André Lopes and percussionist José Javier Freire before releasing an independent album Madera in 1999. <a href=""https://www.last.fm/music/Bacilos"">Read more on Last.fm</a>","['Juanes', 'Fonseca', 'Carlos Vives', 'Chayanne']"
54,LA GENTE SF,26,75," <a href=""https://www.last.fm/music/LA+GENTE+SF"">Read more on Last.fm</a>",[]
55,Belinda,396874,7409000,"Belinda Peregrín Schüll, known by artistic name Belinda (born August 15, 1989 in Madrid, Spain), is a Latin Grammy Award nominated Spanish-Mexican singer, songwriter, dancer and actress, who debuted in 2003 with the self-titled album, Belinda, under Sony BMG and RCA Records. Her international self-titled album Belinda as released in Mexico City, Mexico by BMG and RCA Records on August 5, 2003 and became a great a success in many different countries including Mexico, selling 2.5 million copies worldwide.  <a href=""https://www.last.fm/music/Belinda"">Read more on Last.fm</a>","['Paulina Rubio', 'Belanova', 'Paty Cantú', 'Anahí']"
56,Yng Lvcas,230184,2550270,"Yng Lvcas es un artista tapatío de origen mexicano, nació el 24 de Octubre de 1999 
su gusto por el arte proviene desde pequeño después de verse envuelto en obras de teatro, graffiti, baile y, por supuesto, la música y el canto. A los 15 años de edad fue cuando decidió empezar a escribir debido a su gusto por el Rap y los Corridos, comenzando su carrera musical a principios del año 2020 con sub-géneros como el Trap y en género del Reggaetón <a href=""https://www.last.fm/music/Yng+Lvcas"">Read more on Last.fm</a>","['Peso Pluma', 'Ryan Castro', 'Bellakath', 'Nio Garcia']"
