,artista,listeners,playcount,biografia,artistas_similares
26,Kurious,25525,177211,"Kurious is a Puerto Rican rapper hailing from Spanish Harlem, New York City. He made his first notable appearance on the album ""Black Bastards"" by socially conscious, New York rap trio KMD. Since then he's kept a tight connection to MF Doom, the Monsta Island Czars and MF Grimm, and released his debut solo album titled ""A Constipated Monkey"" in 1994. 

The title suggests Kurious packs ""hard shit"" in his lyrics, and he adds a Latin flavor to his songs. <a href=""https://www.last.fm/music/Kurious"">Read more on Last.fm</a>","['Godfather Don', 'L the Head Toucha', 'Flying Pupa', 'Artifacts']"
27,Naughty By Nature,658939,5308451,"Naughty by Nature is a hip hop group that at the time of its formation in 1991, consisted of Treach, Vinnie, and the DJ Kay Gee. 

The group formed in East Orange, New Jersey, and first appeared on the music scene in the late 1980's releasing an album titled The Independent Leaders, under their then name The New Style. The album generated the minor hit ""Scuffin' Those Knees"". After the release of their first album, the group was subsequently mentored by fellow New Jersey native Queen Latifah and consequently changed their name. <a href=""https://www.last.fm/music/Naughty+By+Nature"">Read more on Last.fm</a>","['House of Pain', 'Das EFX', 'LL Cool J', 'EPMD']"
28,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
29,Swavay,71668,668898," <a href=""https://www.last.fm/music/Swavay"">Read more on Last.fm</a>","['Kenny Mason', 'Childish Major', 'JID', 'Saba']"
30,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
31,Token,144588,3391649,"Ben Goldberg, known by his stage name Token, grew up north of Boston, MA. At a young age Ben was introduced to hip-hop and by the age of 6, began writing down his thoughts and emotions from events in his life and expressing himself through poetry. At the age of 10, Ben began putting melody to these lyrics and recording these poems as raps. What had started out as an outlet of expression soon became his passion. Rather than hanging out with friends as most kids his age were doing <a href=""https://www.last.fm/music/Token"">Read more on Last.fm</a>","['Hopsin', 'Joyner Lucas', 'Chris Webby', 'Cal Scruby']"
32,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
33,P-Lo,75205,728546,"P-Lo, born Paolo Rodriguez is a producer/rapper from the Bay Area. He is a founding member of the HBK Gang, which includes the likes of Kehlani, Iamsu!, and Sage the Gemini.

As well as releasing his own music, P-Lo has produced numerous charting singles which include Flo-Rida’s ‘GDFR’, Sage Gemini’s ‘Gas Pedal’ and Yo Gotti’s ‘Act Right’. <a href=""https://www.last.fm/music/P-Lo"">Read more on Last.fm</a>","['Iamsu!', 'NEF The Pharaoh', 'Berner', 'E-40']"
34,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
35,Evening Stroll,9309,17207," <a href=""https://www.last.fm/music/Evening+Stroll"">Read more on Last.fm</a>","['Yuxiang', 'Seatt', 'BANKER', 'KW-Boss']"
36,Ty Dolla $ign,1234745,21367804,"Tyrone Griffin (born April 13, 1982), better known by his stage name Ty Dolla Sign (stylized as Ty Dolla $ign or Ty$), is an American singer, rapper and producer from Los Angeles, California. He is currently signed to Wiz Khalifa's Taylor Gang Records and Atlantic Records.

The son of a musician from Lakeside, Ty Dolla $ign originally began his career in music by learning the bass guitar. Since then, he has learned several instruments, from the drums, guitars, and keyboard to the MPC. <a href=""https://www.last.fm/music/Ty+Dolla+$ign"">Read more on Last.fm</a>","['Big Sean', 'DJ Khaled', 'Kid Ink', 'YG']"
37,NF,1017129,70629574,"NF is the stage name of rapper and composer Nate Feuerstein from Gladwin, Michigan. Feuerstein endured a hardship-filled childhood in which his parents divorced, his mother's boyfriend physically abused him, and his mother eventually killed herself. Music was his escape, and he began recording songs on a karaoke machine, with instrumentals on one microphone and his raps in the other. Placing second in a nationwide Fine Arts Festival rap competition in 2008 <a href=""https://www.last.fm/music/NF"">Read more on Last.fm</a>","['Witt Lowry', 'Ivan B', 'Lucidious', 'Joyner Lucas']"
38,Mike,566627,23954315,"There are multiple artists using this name:

1. MIKE (born Michael Jordan Bonema on October 13th, 1998) is a rapper originally from New Jersey but currently based out of New York City. He usually drops his projects on either of the solstices (June 21st or December 21st) each year.

2. MIKE is a punk rock band from Stockholm, Sweden.

MIKE started in January 2006 by Joel, Fredrik, Viktor and Jesper. The four guys from the southern part of Stockholm/Sweden had all played in different bands for years. <a href=""https://www.last.fm/music/Mike"">Read more on Last.fm</a>","['DJ BlackPower', 'Navy Blue', 'Niontay', 'Armand Hammer']"
39,Kodak Black,1361623,72581365,"Bill Kahan Kapri (born as Dieuson Octave) , (born June 11, 1997), better known by his stage name Kodak Black, is an American rapper from Pompano Beach, Florida, United States. He burst onto the scene at a young age when his single ""No Flockin"" made the rounds in 2014. He eventually released his breakthrough commercial mixtape, Lil Big Pac, in 2016. His debut album, Painting Pictures, released in 2017, with the single ""Tunnel Vision"", which reached the top 10 of the Billboard Hot 100. <a href=""https://www.last.fm/music/Kodak+Black"">Read more on Last.fm</a>","['Jackboy', 'Pooh Shiesty', 'HotBoii', 'Young Dolph']"
40,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
41,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
42,konb,1664,4432," <a href=""https://www.last.fm/music/konb"">Read more on Last.fm</a>","['Ar Kay', 'Loockey', 'Amani Reid', 'Cozy Couch']"
43,sleeping with shoes on,2764,7023," <a href=""https://www.last.fm/music/sleeping+with+shoes+on"">Read more on Last.fm</a>","['Nilok', 'Kaidon Roddy', 'jakuub', 'Slify']"
44,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
45,Aesop Rock,739543,34527627,"Aesop Rock (born Ian Bavitz on June 5, 1976) is an alternative hip hop artist/producer from Long Island, New York, United States. He has released ten albums: ""Music for Earthworms"" (1997), ""Float"" (1999), ""Labor Days"" (2001), ""Bazooka Tooth"" (2003),  ""None Shall Pass"" (2007), ""Skelethon"" (2012), ""The Impossible Kid"" (2016), and ""Spirit World Field Guide"" (2020), ""Garbology"" (2021), and ""Integrated Tech Solutions"" (2023).  He is also a member of the groups Hail Mary Mallon, The Weathermen, Two of Every Animal and The Uncluded. <a href=""https://www.last.fm/music/Aesop+Rock"">Read more on Last.fm</a>","['Hail Mary Mallon', 'Rob Sonic', 'Malibu Ken', 'El-P']"
46,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
47,YEEK,387381,6241158,"Born & partially raised in New Jersey while spending developing years in both Southwest Florida & California, Yeek is a singer-songwriter/producer.  Notably coined as an early adopter of the 'genre-bending' space and breaking through the essence of what ‘DIY’ stands for, Yeek is a creative in every sense of the word -- straddling between the worlds of music, film, fashion, & art. <a href=""https://www.last.fm/music/YEEK"">Read more on Last.fm</a>","[""Dre'es"", 'Kevin Abstract', 'DUCKWRTH', 'Ag Club']"
48,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
49,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
50,Rowlan,27297,200344,"Thomas Rowland, born in Barnstable, Massachusetts on March 18, 1993. He is professionally known as Rowlan, and is an American rapper, singer, songwriter and record producer. He initially gained recognition through his remix of “Nikes On My Feet” by Mac Miller. The song reached over 500 thousand streams total with over 100 thousand views on the YouTube video.

He since has put out over 100 songs in single and EP format, much of which has helped him gradually grow his following with his fans. <a href=""https://www.last.fm/music/Rowlan"">Read more on Last.fm</a>","['P.MO', 'J-Wright', 'Anilyst', 'Kvng Moses']"
51,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
52,Delirium,67687,575594,"There are several bands called Delirium around the world, please see below for a bio of each band, categorized by number:

1) Progressive rock band from Italy.

2) Heavy metal band from Honduras.

3) A death/doom metal band from Holland formed in 1988. They had a self-titled demo in 1988 a demo titled ""Amputation"" in 1989. They released their first and only album in 1990 title ""Zzooouhh"" on Prophecy Records.

4) A Los Angeles art metal band formed in 2008 under the name Saboteur. <a href=""https://www.last.fm/music/Delirium"">Read more on Last.fm</a>","['Le Orme', 'Museo Rosenbach', 'Premiata Forneria Marconi', 'Banco del Mutuo Soccorso']"
53,JZAC,33910,292573," <a href=""https://www.last.fm/music/JZAC"">Read more on Last.fm</a>","['Chris Webby', 'EKOH', 'Ollie Joseph', 'ChrispyD']"
54,Mac Black,651,54124,"Mac Black is an artist from Memphis Tennessee, who grew up in the Coro Lake area. His real is name Dennis Fair. Even though he has been associated with the Gangsta Disciples, he's the founder of Bluff City Mafia. Going to Westwood High School is where he held freestyle sessions and creating small crowds. Being from a family of blues players is where he found his true passion for music. In 1995 he was apart of a group named Dem Thugs, who eventually departed ways. <a href=""https://www.last.fm/music/Mac+Black"">Read more on Last.fm</a>","['Gangsta Pat & Legion Of doome', 'Hy Lyfe Inc', 'Da Track Murderers', 'Icy K']"
55,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
56,Dstar,1293,19322," <a href=""https://www.last.fm/music/Dstar"">Read more on Last.fm</a>","['Infiltrata', 'Juel Anthony', 'Lewel', 'Brainaholic']"
57,MoneyBagg Yo,578575,16253133,"Demario DeWayne White, Jr. (born September 22, 1991), better known by his stage name Moneybagg Yo, is an American rapper. He signed to Yo Gotti's record label CMG in October 2016.[1] He also signed a distribution deal with Interscope.[2][3] His latest two projects, Federal 3X and 2 Heartless, debuted at number 5 and number 16 on the Billboard 200, respectively.

Career
His early mixtapes were issued in 2012, including From The Da Block 2 Da Booth and October 20th. <a href=""https://www.last.fm/music/MoneyBagg+Yo"">Read more on Last.fm</a>",[]
58,JZAC,33910,292573," <a href=""https://www.last.fm/music/JZAC"">Read more on Last.fm</a>","['Chris Webby', 'EKOH', 'Ollie Joseph', 'ChrispyD']"
59,Hemanifezt,459,914," <a href=""https://www.last.fm/music/Hemanifezt"">Read more on Last.fm</a>","['The Passion HIFI', 'Fika Phan Tri', 'YMN jC', 'Shawn2Legit']"
