,genero_musica,artista,listeners,playcount,biografia,artistas_similares
215,hiphop,Da Endless,3,13," <a href=""https://www.last.fm/music/Da+Endless"">Read more on Last.fm</a>",[]
216,hiphop,Rap Caviar,295,3137," <a href=""https://www.last.fm/music/Rap+Caviar"">Read more on Last.fm</a>","['White Banshee', 'Lucid HKE', 'LUCID 7 KAMI', 'Hard K']"
218,hiphop,Global Don,55,130," <a href=""https://www.last.fm/music/Global+Don"">Read more on Last.fm</a>",['Svet Fit Music']
221,hiphop,Choi Seong,1570,22990," <a href=""https://www.last.fm/music/Choi+Seong"">Read more on Last.fm</a>","['Qim Isle', '한요한', '이수호', 'YUZION']"
222,hiphop,Raphael Lake,63785,456568," <a href=""https://www.last.fm/music/Raphael+Lake"">Read more on Last.fm</a>","['Nik Ammar', 'SATV Music', 'Tom Gregory', 'Saint PHNX']"
223,hiphop,HipHop Playlist,84,315," <a href=""https://www.last.fm/music/HipHop+Playlist"">Read more on Last.fm</a>",[]
224,hiphop,SMALL D,101,198," <a href=""https://www.last.fm/music/SMALL+D"">Read more on Last.fm</a>","['B-Ball', 'Просто Так', 'Фукс', 'С.т.д.к.']"
225,hiphop,Kyle Sutton,53,172," <a href=""https://www.last.fm/music/Kyle+Sutton"">Read more on Last.fm</a>","['Aubrey G. Young', 'Clark Can']"
226,hiphop,Boldy James,615881,18650697,"James Clay Jones III (born August 9, 1982), better known by his stage name Boldy James, is an American rapper from Detroit, Michigan. His debut album My 1st Chemistry Set was released on October 15, 2013. 

Boldy James was born James Clay Jones III on August 9, 1982, in Atlanta, Georgia to his parents James Clay Jones Jr. and Toni K. Broadus. In 1983, Jones and Broadus returned to their original home of Detroit, MI with their son after Jones was wounded in the line of duty serving as a police officer. <a href=""https://www.last.fm/music/Boldy+James"">Read more on Last.fm</a>","['Nicholas Craven', 'Conway the Machine', 'The Alchemist', 'Westside Gunn']"
227,hiphop,Juice WRLD,1876700,365285645,"Jarad Anthony Higgins (born December 2nd, 1998; died December 8th, 2019), known professionally as Juice WRLD, was an American hip-hop musician from Chicago, Illinois. He was primarily known for his breakout hits, ""All Girls Are The Same"" and ""Lucid Dreams"", the latter of which peaked at number #2 on the Billboard Hot 100. The album enjoyed positive critical reception, and contained three other singles: ""Armed and Dangerous"", ""Lean Wit Me"" and ""Wasted (feat. <a href=""https://www.last.fm/music/Juice+WRLD"">Read more on Last.fm</a>","['Trippie Redd', 'The Kid LAROI', 'Future & Juice WRLD', 'Lil Uzi Vert']"
230,hiphop,Lor_Kreny,21,42," <a href=""https://www.last.fm/music/Lor_Kreny"">Read more on Last.fm</a>",[]
243,hiphop,A2,70037,700274,"There are multiple artists with the name A2.

1) A2 aka Wesley Bishop, rapper and producer hailing from the Croydon area. He is apart of the new “7” coined by many artist such as Krept & Konan, Stormzy, Bonkaz and Section Boyz who all come from the CR7 postcode. Like many rappers in the UK A2 started rapping on grime before being influenced to start rapping on more R&B sounds alongside creating production with oldskool R&B samples. Some say this is new genre defined sonically as “Trap Soul”. <a href=""https://www.last.fm/music/A2"">Read more on Last.fm</a>","['GoldLink', 'emma dj', 'LEX AMOR', 'Arta']"
244,hiphop,Jigmastas,18680,138111,"Whoever loves hip hop and has flipped through cds and LP's is sure to have seen the cover for Jigmastas' 2001 album Infectious - a cover which frames both members of the duo in a pair of headphones to a backdrop of a starry heaven. If you have not actually heard the music but only seen the cover, you are depriving yourself of one of the best examples of what made 90s hip hop great.
Chilled out, spiritual and funky beats of Vince Williams (aka DJ Spinna) are the backdrop to Kriminul's flow and poetic imagery.
 <a href=""https://www.last.fm/music/Jigmastas"">Read more on Last.fm</a>","['Godfather Don', 'Ill Al Skratch', 'Artifacts', 'Large Professor']"
245,hiphop,Leschea,4280,29046,"Leschea (pronounced le-SHAY) is a contemporary R&B performer who had success in 1995 and 1996 with her debut album Rhythm & Beats. On December 6, 2005, her album was re-released through iTunes. Leschea was also part of the group Masta Ace Incorporated. Leschea / Born and raised in the Bedford Stuyvesant section of Brooklyn NY, this gifted artist began singing and performing at the age of eight. With no formal training, she honed her vocal and performing skills in school productions from junior high to junior college. <a href=""https://www.last.fm/music/Leschea"">Read more on Last.fm</a>","['Thaíde & DJ Hum', 'Motirô', 'Gina Thompson', 'Cheri Dennis']"
246,hiphop,Fastmoney Ant,2692,9686," <a href=""https://www.last.fm/music/Fastmoney+Ant"">Read more on Last.fm</a>","['5dirtyVon', 'TAFIA', 'Dwalk', 'Yung Sinn']"
250,hiphop,Parker,49235,565302,"There is more than one artist with this name:


1) Parker is some fuckin emo shit in Rockford, IL.  Members of Warren Franklin, Joie De Vivre, and Your City/State.  On Count Your Lucky Stars or something dumb.  Cool as hell. We takin' over. 

2) If Knighthoods were given out for contributions to crowd rocking, Parker would be curtseying in front of the Queen come New Year. As it is, plaudits range from Massive Attack to DJ Yoda. Royalty indeed! 
First starting his rise smashing chumps via DJ battles <a href=""https://www.last.fm/music/Parker"">Read more on Last.fm</a>","['Dodge & Fuski', 'Дорогой Дневник', 'Worst party ever', 'Arrows in her']"
251,hiphop,Acclimate Hip Hop,76,238," <a href=""https://www.last.fm/music/Acclimate+Hip+Hop"">Read more on Last.fm</a>",['Victor Perry']
252,hiphop,B.o.B,2645452,37200633,"Bobby Ray Simmons (born November 15, 1988 in Decatur, Georgia, USA), better known by his stage name B.o.B, is a Grammy Award-nominated American rapper, singer, producer and conspiracy theorist, signed to T.I.'s Grand Hustle Label and Atlantic Records. In 2007 he released his debut EP, Eastside, and has since released another EP, 12th Dimension, and five mixtapes. His debut album, B.o.B Presents The Adventures of Bobby Ray, was released in April 2010 and debuted at #1 on the Billboard 200. <a href=""https://www.last.fm/music/B.o.B"">Read more on Last.fm</a>","['Flo Rida', 'Chiddy Bang', 'T.I.', 'Macklemore & Ryan Lewis']"
253,hiphop,o2worldwide,27611,211813," <a href=""https://www.last.fm/music/o2worldwide"">Read more on Last.fm</a>","['Fritogang', 'Jon Swaii', 'Isaac Zale', 'Oranj Goodman']"
258,hiphop,Lental,976,1919," <a href=""https://www.last.fm/music/Lental"">Read more on Last.fm</a>","['Dustin Warbear', 'Kvng Moses', 'Jehry Robinson', 'Statik G']"
260,hiphop,Culture Clan,86,596," <a href=""https://www.last.fm/music/Culture+Clan"">Read more on Last.fm</a>","['Red Boy', 'Tommy Real', 'big dario', 'Tony Bull']"
262,hiphop,Mac Miller,2804956,298964921,"Malcolm McCormick, also known by his stage name Mac Miller, was an American rapper, singer-songwriter and record producer from Pittsburgh, Pennsylvania. He was also a noted record producer under the pseudonym Larry Fisherman. Raised Jewish and teaching himself music from a young age, McCormick defied the stereotypes of hip-hop and released his first mixtape under the name EZ Mac, titled ""But My Mackin' Ain't Easy"" in 2007, when McCormick was only fifteen. <a href=""https://www.last.fm/music/Mac+Miller"">Read more on Last.fm</a>","['Chance the Rapper', 'Isaiah Rashad', 'Joey Bada$$', 'A$AP Rocky']"
266,hiphop,Zero14,3,4," <a href=""https://www.last.fm/music/Zero14"">Read more on Last.fm</a>",[]
267,hiphop,Upgrade HipHop,531,27030," <a href=""https://www.last.fm/music/Upgrade+HipHop"">Read more on Last.fm</a>","['Weerd Science', 'Mike Mictlan', 'Eligh & Amp Live', 'The MC Type']"
269,hiphop,Todays Top Hits,1152,4688," <a href=""https://www.last.fm/music/Todays+Top+Hits"">Read more on Last.fm</a>","['2022 Hit Songs Music Mix', 'Gaming Music 2022', 'Ka$hhh', 'Valorant Gaming Music']"
270,hiphop,Smooth Hiphop Cafe,277,1584," <a href=""https://www.last.fm/music/Smooth+Hiphop+Cafe"">Read more on Last.fm</a>","['Inspiration Cafe', 'Music For Freelancers', 'The Happy Jazz Pianist', 'Stress Free Jazz']"
271,hiphop,Sonny Digital,39923,228693," <a href=""https://www.last.fm/music/Sonny+Digital"">Read more on Last.fm</a>","['2 Chainz & Lil Wayne', 'Vic Mensa', 'Offset', 'Quavo']"
273,hiphop,Toylah,35,155," <a href=""https://www.last.fm/music/Toylah"">Read more on Last.fm</a>",[]
276,hiphop,Megan Thee Stallion,1782179,132157760,"Megan Jovon Ruth Pete, known professionally as Megan Thee Stallion, is a North American rapper, songwriter and singer. Originally from Houston, Texas, U.S.A. she first garnered attention when videos of her freestyling became popular on social media platforms such as Instagram. Megan Thee Stallion signed to 300 Entertainment in 2018 where she released the mixtape Fever (2019) and the EP Suga (2020) both of which reached the top ten of the Billboard 200. <a href=""https://www.last.fm/music/Megan+Thee+Stallion"">Read more on Last.fm</a>","['Latto', 'GloRilla', 'Cardi B', 'Flo Milli']"
277,hiphop,Year of the Ox,10949,129608,"According to the Zodiac, the Ox is attributed with traits of strength and familial loyalty. Nevertheless, they can be stubborn with their ideals and quick to snap on anybody who might violate tradition. Hailing from Virginia, Lyricks and JL exemplify these characteristics as artists who regularly speak on the struggles of the Everyman, yet quick to welcome any challengers, only to treat them like the bonus stage in Street Fighter. It’s a breath <a href=""https://www.last.fm/music/Year+of+the+Ox"">Read more on Last.fm</a>",[]
283,hiphop,Hip Hop For The World,688,2042," <a href=""https://www.last.fm/music/Hip+Hop+For+The+World"">Read more on Last.fm</a>","['Yung Jules', 'S.T.', 'BIG MONT', 'Real Prophecy']"
289,hiphop,Mike Shinoda,365697,6961701,"Michael Kenji Shinoda (born February 11, 1977) is an American musician, songwriter, rapper, singer, record producer and graphic designer. He co-founded Linkin Park in 1996 and is the band's rhythm guitarist, primary songwriter, keyboardist, producer, and lead vocalist. Shinoda later created a hip-hop-driven side project, Fort Minor, in 2004. He served as a producer for tracks and albums by Lupe Fiasco, Styles of Beyond and The X-Ecutioners.

Shinoda is also the co-founder of Machine Shop Records, a California-based record label. <a href=""https://www.last.fm/music/Mike+Shinoda"">Read more on Last.fm</a>","['Linkin Park', 'Fort Minor', 'Dead by Sunrise', 'Jay-Z and Linkin Park']"
294,hiphop,Armani White,390396,3570774,"Enoch Armani Tolbert (born September 25, 1996),  known professionally as Armani White, is an American rapper.

White has been surrounded during his childhood by a family that played music which drew his attention towards music. He started rapping in the second grade. He attended Delaware State University. <a href=""https://www.last.fm/music/Armani+White"">Read more on Last.fm</a>","['Dreamville', 'IDK', 'Connor Price', 'Cordae']"
297,hiphop,Khafre Jay,21,233," <a href=""https://www.last.fm/music/Khafre+Jay"">Read more on Last.fm</a>","['Rekord', 'Q.yada', 'Portrey Youth', 'Bri Gonzales']"
298,hiphop,KountUpWitdak,796,6783," <a href=""https://www.last.fm/music/KountUpWitdak"">Read more on Last.fm</a>","['PG RA', 'Deezy McDuffie', 'Polo Mayesvillian', '18Veno']"
304,hiphop,midwxst,341853,18428167,"Edgar Nathaniel Sarratt III, known professionally as midwxst, is an American rapper and singer born on June 5, 2003, in Columbia, South Carolina. Raised in Indianapolis, Indiana, Sarratt grew up in a military family and faced various relocations, which instilled adaptability and resilience. He was diagnosed with ADHD at a young age, which influenced his approach to music and creativity. In high school, he began producing music in his bedroom, initially under the alias $uspect, and later adopting the stage name midwxst. <a href=""https://www.last.fm/music/midwxst"">Read more on Last.fm</a>","['ericdoa', 'glaive', 'aldn', 'brakence']"
312,hiphop,Language Arts Crew,14581,117760,"
Language Arts Crew is a five-piece hip-hop group formed in the San Francisco Bay Area in 2001. Based in San Jose with a frontline of four MC’s and two heavy weight producers. Their style exhibits a lyrical depth, technique, and stage presence that has them on the cutting edge of the Bay Area underground hip-hop scene for the past three years. Their seven-inch single “Lazy Daze in California,” and full-length release ”Applied Knowledge” <a href=""https://www.last.fm/music/Language+Arts+Crew"">Read more on Last.fm</a>","['Input', 'Collective Efforts', 'Unknown Prophets', 'Paranoid Castle']"
314,hiphop,Wu-Tang Clan,2126810,61695652,"Wu-Tang Clan is a hip-hop group that consists of: RZA, GZA/Genius, Ghostface Killah, Raekwon, Ol' Dirty Bastard, Method Man, Inspectah Deck, U-God, and Masta Killa. They are frequently joined by fellow childhood friend Cappadonna, a quasi member of the group. They were formed in (and are associated with) the New York City borough of Staten Island (referred to by members as ""Shaolin""), though Masta Killa and GZA are from Brooklyn and Inspectah Deck is from the Bronx. <a href=""https://www.last.fm/music/Wu-Tang+Clan"">Read more on Last.fm</a>","['Raekwon', 'GZA/Genius', 'Ghostface Killah', 'Method Man']"
319,hiphop,Tierra Whack,573482,11765666,"Tierra Whack (born August 11, 1995) is a rap-artist from North Philadelphia, Pennsylvania. As a teenager, she performed as Dizzle Dizz, but reverted back to her birth name in 2017. Her debut album, Whack World, was released on May 30, 2018.

Whack World is a theme park of an album in which Whack sings, raps, and slips in and out of exaggerated voices across 15 songs that, at different moments, might be described as hip-hop, R&B, pop, or country. Every track clocks in at exactly one minute and is accompanied by its own distinctive video.  <a href=""https://www.last.fm/music/Tierra+Whack"">Read more on Last.fm</a>","['JUNGLEPUSSY', 'Rapsody', 'Leikeli47', 'Rico Nasty']"
321,hiphop,Hip Hop Mix,533,5030," <a href=""https://www.last.fm/music/Hip+Hop+Mix"">Read more on Last.fm</a>","['Snoop Dogg, Dr. Dre, Ice Cube', 'Pop Mix', 'Rock Mix', 'Common feat. Sadat X']"
333,hiphop,Finesse2tymes,67444,467941," <a href=""https://www.last.fm/music/Finesse2tymes"">Read more on Last.fm</a>","['Big Boogie', 'BigWalkDog', 'Moneybagg Yo', 'Yo Gotti']"
334,hiphop,Rap Game,513,1316," <a href=""https://www.last.fm/music/Rap+Game"">Read more on Last.fm</a>","['Jay-Z, Beanie Sigel, Memphis Bleek & Amil', 'Jay-Z, Beanie Sigel & Amil', 'Jay-Z, Beanie Sigel & L. Dionne', '8 miles and running']"
338,hiphop,Lifesavas,42588,300395,"A hip hop duo from Portland, Oregon, Lifesavas are notable for what The Onion's Nathan Rabin called their ""self deprecating style."" Their creative and insightful songs are both approachable and complex.  The group consists of Jumbo the Garbageman and Vursatyl.

Like many of their peers on Quannum Projects, their lyrics tend to be rhythmically intricate and emotionally introspective, though it contains little of the self-lacerating qualities found on the inhabitants of underground hip hop labels like Anticon and Lex. <a href=""https://www.last.fm/music/Lifesavas"">Read more on Last.fm</a>","['The Mighty Underdogs', 'Maroons', 'Lateef & The Chief', 'Lateef The Truth Speaker']"
340,hiphop,Mary J. Blige,2000988,26519168,"Mary Jane Blige (born January 11, 1971 in Bronx, New York, United States), is an American R&B, Soul, and Hip Hop singer, songwriter, rapper and actress. Known as The Queen of Hip-Hop Soul and The Queen of R&B, she has sold over 75 million records worldwide. 

In 1992, Blige released her debut album What's The 411?. The album sold 3.4 million copies on the strength of singles You Remind Me, Real Love, Reminisce, Sweet Thing, and Love No Limit. The <a href=""https://www.last.fm/music/Mary+J.+Blige"">Read more on Last.fm</a>","['Faith Evans', 'Monica', 'Toni Braxton', 'Kelly Price']"
343,hiphop,Jazzy Hip Hop Lounge,103,1427," <a href=""https://www.last.fm/music/Jazzy+Hip+Hop+Lounge"">Read more on Last.fm</a>","['Simon Jefferis', 'Hubert Tas', 'Jökull Logi', 'NumbrXII']"
344,hiphop,Yung Gravy,827841,25701896,"Matt Hauri, more commonly known as Yung Gravy is an American rapper who became popular for his abstract lyrics, often sexualizing food or putting food in sexual scenarios. As his image grew, he became recognised for his love of mothers.

Yung Gravy is a graduate from the University of Wisconsin, and broke out on the internet from his smash hit “Mr. Clean”, sampling the classic song Mr. Sandman. He has become a nationwide star, selling out concerts all over the United States and racking up hundreds of thousands of followers on social media. <a href=""https://www.last.fm/music/Yung+Gravy"">Read more on Last.fm</a>","['bbno$', 'Billy Marchiafava', 'Baby Gravy', 'Yung Gravy & bbno$']"
345,hiphop,Figero Scripp,2,17," <a href=""https://www.last.fm/music/Figero+Scripp"">Read more on Last.fm</a>",[]
346,hiphop,Eve,1349262,34535890,"There are at least five artists using this name:
1. Eve - The Japanese singer (Utaite)
2. Eve Ai - The Taiwanese Singer
3. Jarkko Eve - The Finnish singer - songwriter - base player - guitarist
4. EVE - Brazilian girl group
5.  Eve - The American rapper, songwriter from Philadelphia.

1. Eve (いぶ ibu), also known as Keitora (けいとら) and Kurowa (クロわ), is mostly known as an utaite on the platforms Niconico and YouTube. In recent years, he has also composed original works. <a href=""https://www.last.fm/music/Eve"">Read more on Last.fm</a>","['たかやん', 'eill', 'Lotus Juice', 'DAOKO']"
348,hiphop,DZ,89365,456942,"There is more than one artist with this name:

1. DZ is a Dubstep producer who remixed tracks for The Crookers , Wu-tang Clan, Major Lazer and Gucci Mane and released his first full length LP “The Proliferation Sequence”. Best known for his original tracks ""Old Timers""  and  ""Down"".

The Prolific DZ is one of the influential figures of Dubstep in North America,which is reflected by his extensive back catalogue & the diversity found within it. A veteran of the 1’s & 2’s for a little over 15 years <a href=""https://www.last.fm/music/DZ"">Read more on Last.fm</a>","['Stagga', 'UltraBlack', 'Subvert', 'Jayou']"
349,hiphop,Kaliii,231290,1386798,"Kaliya Ashley Ross, known professionally as Kaliii or simply Kali, is an American rapper from Roswell, Georgia. She is noted for her songs poking fun at past partners and her carefree attitude. She is of Panamanian descent. <a href=""https://www.last.fm/music/Kaliii"">Read more on Last.fm</a>","['Big Boss Vette', 'Latto', 'Flo Milli', 'Asian Doll']"
350,hiphop,$NOT,730650,37330537,"Edy Edouard (born December 16, 1997), is an American rapper, singer, and songwriter. Born in New York, $not moved to West Palm Beach, Florida at seven years old, where he would begin his rap career through SoundCloud in 2016. $not rose to fame with the release of his breakout single ""Gosha"" in September 2018. <a href=""https://www.last.fm/music/$NOT"">Read more on Last.fm</a>","['DJ Scheme', 'Lil Skies', 'Ski Mask the Slump God', 'DC the Don']"
351,hiphop,Roderick Porter,166438,2258728," <a href=""https://www.last.fm/music/Roderick+Porter"">Read more on Last.fm</a>",[]
354,hiphop,trellion,22633,171782,"Trellion is a British MC from Sheffield who has been rapping and recording music since around 2007. In 2009 he began work on the album 'Dive by Night' with Sheffield producer Third Person Lurkin'. The tracks featured artists such as Sniff and Figment, as well as production from Welsh producer Lou Heckla.

Dive by Night sent ripples through the underground scene and was praised for its dark twisted production and sinister original wordplay. Many releases followed including 'The Judas Clock' <a href=""https://www.last.fm/music/trellion"">Read more on Last.fm</a>","['Cult of the Damned', 'Morriarchi', 'Mcabre Brothers', 'Juga-Naut']"
355,hiphop,Playboi Carti,1757281,444480897,"Jordan Terrell Carter (born September 13, 1995), popularly known as Playboi Carti, is an American rapper, performer and singer from Atlanta, Georgia. His eponymous debut mixtape was released on April 14, 2017. He originally went by the moniker Sir Cartier (stylized as $ir Cartier) when he embarked on his music career in 2011.

He originally started rapping as  Sir Cartier, releasing a mixtape titled THC: THE HIGH CHRONICAL$ on November 5, 2011, that has since been deleted from the Internet, because it was absolute balls. <a href=""https://www.last.fm/music/Playboi+Carti"">Read more on Last.fm</a>","['Ken Carson', 'Destroy Lonely', 'Lil Uzi Vert', 'Homixide Gang']"
356,hiphop,Big Scarr,146451,3660442,"Big Scarr was born on April 7, 2000, and grew up in the Magnolia community of South Memphis, Tennessee. He was one of nine children, and he lived with his grandmother until her death when he was 13. He was injured in a car accident at 16 that left scars on his face, which inspired his stage name of ""Big Scarr"".

Big Scarr initially didn't have a passion for rap music and started gaining interest due to his friend and fellow artist Baby K. In 2019, he released his first track ""Make a Play"" which received 50,000 views on YouTube. <a href=""https://www.last.fm/music/Big+Scarr"">Read more on Last.fm</a>","['BIG30', 'Pooh Shiesty', 'Lil Double 0', 'Foogiano']"
360,hiphop,Luh Tyler,186741,3963864,"Tyler Meeks[1] (born February 20, 2006), known professionally as Luh Tyler, is a rapper from Tallahassee, Florida[2] currently signed to Atlantic Records. His debut studio album My Vision peaked at number 2 on the Billboard Top Heatseekers chart. <a href=""https://www.last.fm/music/Luh+Tyler"">Read more on Last.fm</a>","['Real Boston Richey', 'Babyface Ray', 'Veeze', 'Bossman Dlow']"
362,hiphop,Lil Tecca,1214965,85098778,"Tyler-Justin Anthony Sharpe (born August 26, 2002), known professionally as Lil Tecca or Tecca, is an American rapper, singer and songwriter. He gained recognition upon releasing his breakout single, ""Ransom"", which has amassed over 1 billion plays on Spotify and peaked at number four on the Billboard Hot 100. 

Tecca first gained traction during an early 2018 beef with Toronto rapper ""Lb Spiffy"" after Lb accused Tecca of stealing his flow on the track ""Callin"". <a href=""https://www.last.fm/music/Lil+Tecca"">Read more on Last.fm</a>","['Polo G', 'Internet Money', 'Lil Mosey', 'Don Toliver']"
363,hiphop,Lum,21029,87798,"There are 3 bands with the name Lum.

1. LUM is the solo project of Liam Sanagan, singer-songwriter from southern Ontario who has long had a keen interest in electronic music and experimenting with production techniques. LUM is influenced heavily by this attempt to marry the production values of EDM and Hip Hop with a more traditional song-writing aesthetic usually attributed to Folk music. Liam is also part of the band First Rate People, as well as runs bedroomer. <a href=""https://www.last.fm/music/Lum"">Read more on Last.fm</a>","['Coss', 'Базар', 'Odezenne', 'LEX AMOR']"
369,hiphop,Baby Tate,437200,4561040,"1) Tate Sequoya Farris (born May 13, 1996, Georgia) is an American singer, rapper, songwriter and record producer, known professionally as Baby Tate (formerly known as Yung Baby Tate)

Baby Tate released the EP ROYGBIV in November 2015 and the Christmas-themed EP YBTXMAS in December 2016. In early 2019, she released a short film produced in conjunction with her upcoming album. Her debut full-length album GIRLS was released in February 2019 to positive reviews. XXL named the album as one of the best hip-hop projects of 2019. <a href=""https://www.last.fm/music/Baby+Tate"">Read more on Last.fm</a>","['Flo Milli', 'Bree Runway', 'Rico Nasty', 'City Girls']"
372,hiphop,Deaf by Hip-Hop,198,974," <a href=""https://www.last.fm/music/Deaf+by+Hip-Hop"">Read more on Last.fm</a>","['Microphone Pager', 'Naked Artz', ""Illmatic Buddha Mc's"", 'LAMP EYE']"
379,hiphop,GZA,315690,6027203,"Gary Grice (born August 22, 1966), better known by his stage name GZA ([ˈdʒɪzʌ]), is an American hip hop artist best known as a founding member of seminal hip hop group the Wu-Tang Clan and for his inclusion on their group albums, his groupmates' solo releases and a successful solo career.

Born in Staten Island, Grice developed an interest in hip-hop by attending block parties as a child in the late '70's. He formed a three-man group with his cousins, who would later be known as RZA and Ol' Dirty Bastard. <a href=""https://www.last.fm/music/+noredirect/GZA"">Read more on Last.fm</a>",[]
380,hiphop,Bktherula,308454,8801392,"Brooklyn Candida Rodriguez (born August 30, 2002), also known as BKTHERULA, is an American rapper and singer from Atlanta, Georgia. She began recording at the age of 9 and uploading her songs to SoundCloud at the age of 13. Her father was a rapper in Planet X, and she has since been gaining traction on the streaming platform with the release of her singles ""Faygo"" and ""Left Right."" Her song ""Tweakin' Together"" went viral on TikTok in 2020, and she released her debut album, Love Santana, that same year. <a href=""https://www.last.fm/music/Bktherula"">Read more on Last.fm</a>","['Babyxsosa', 'Hardrock', 'TisaKorean', 'Duwap Kaine']"
381,hiphop,Sole,194865,3711127,"There are at least two artists with the name of Sole: (1)  Sole (Tim Holland), an American underground hip hop artist from Portland, and (2) SOLE (Lee So-ri) a South Korean singer-songwriter and producer.

1.  Sole, born Tim Holland, is an alternative hip hop artist and a co-founder of the anticon. collective. Sole is known for his dense, often dark stream-of-consciousness writing style. His verses are often filled with abstraction, metaphor and sarcasm while avoiding or deconstructing traditional hip hop topics. <a href=""https://www.last.fm/music/Sole"">Read more on Last.fm</a>","['Cosmic Boy', 'Sage Francis', 'PENOMECO', 'punchnello']"
382,hiphop,Moment in Color,1,1," <a href=""https://www.last.fm/music/Moment+in+Color"">Read more on Last.fm</a>",[]
386,hiphop,Del The Funky Homosapien,155446,1518798,"The current moniker for the artist previously known as Del tha Funkee Homosapien, used now for a number of years on his last few album releases, compilation and guest appearances.  He is also a member of Hieroglyphics and Deltron 3030.

Del The Funky Homosapien is Teren Delvon Jones (born August 12, 1972 in Oakland, California)

Cousin of seminal west coast rapper Ice Cube, Del began his career writing lyrics for Ice Cube's band, Da Lench Mob. In 1991 <a href=""https://www.last.fm/music/+noredirect/Del+The+Funky+Homosapien"">Read more on Last.fm</a>",[]
387,hiphop,Grandmaster Boogie,64,92," <a href=""https://www.last.fm/music/Grandmaster+Boogie"">Read more on Last.fm</a>",[]
389,hiphop,The Great Julius,7,53," <a href=""https://www.last.fm/music/The+Great+Julius"">Read more on Last.fm</a>",[]
390,hiphop,Mase,495822,3260957,"There are at least twelve artists calling themselves Mase, who work in different areas of music. It is a pity that all these twelve artists are listed as one. 
The best known is the rapper, whose extensive Wikipedia page has been partly copied below. 

Mason Durell Betha (born August 27, 1975),[1] better known by stage name Mase (often typeset as Ma$e) who was previously known as Murda Ma$e, is an American rapper, songwriter, actor and inspirational speaker. <a href=""https://www.last.fm/music/Mase"">Read more on Last.fm</a>","[""Cam'ron"", 'Fabolous', 'The Lox', 'Jadakiss']"
398,hiphop,YoungBoy Never Broke Again,790607,107621175,"Kentrell DeSean Gaulden (born October 20, 1999), better known by his stage name YoungBoy Never Broke Again (aka NBA YoungBoy), is a Baton Rouge, LA rapper.

YoungBoy started writing and making music around the age of fourteen, eventually dropping his first mixtape Life Before Fame in April of 2015.

YoungBoy started to gain recognition when he dropped his projects Mind Of A Menace 3, Before I Go, and 38 Baby, but gained the most recognition for his hit song “38 Baby.” <a href=""https://www.last.fm/music/YoungBoy+Never+Broke+Again"">Read more on Last.fm</a>","['Quando Rondo', 'NEVER BROKE AGAIN', 'NoCap', 'JayDaYoungan']"
399,hiphop,Hip Hop Saves Lives,2,2," <a href=""https://www.last.fm/music/Hip+Hop+Saves+Lives"">Read more on Last.fm</a>",[]
400,hiphop,Nas,2932966,106752048,"Nasir bin Olu Dara Jones, more commonly known as Nas (formerly Nasty Nas and Escobar), born September 14, 1973 in Crown Heights, Brooklyn, New York, is a prominent American MC. The son of jazz musician Olu Dara, he was raised in the infamous Queensbridge housing projects in Queensbridge, New York. According to the Nasty Songfacts, as a teenager rapper, Nasir  first went by the nickname Kid Wave before adopting his more commonly known alias of Nasty Nas. <a href=""https://www.last.fm/music/Nas"">Read more on Last.fm</a>","['JAY-Z', 'Mobb Deep', 'AZ', 'The Notorious B.I.G.']"
401,hiphop,Ravyn Lenae,541676,12708790,"Ravyn Lenae Washington (born January 22, 1999) is an American R&B singer-songwriter from Chicago who is currently signed to Atlantic Records and the Three Twenty Three Music Group. She is also a member of the musical collective Zero Fatigue. Her debut EP, Moon Shoes EP, was released independently in 2015 and reissued by Atlantic Records in 2016. Her follow-up EP, Midnight Moonlight EP, was released in 2017. In addition to performing at several music festivals, Lenae has also toured with SZA on her Ctrl Tour and Noname on her Telefone Tour. <a href=""https://www.last.fm/music/Ravyn+Lenae"">Read more on Last.fm</a>","['Solange', 'Kelela', 'Mereba', 'Raveena']"
403,hiphop,Popular Songs,688,4025," <a href=""https://www.last.fm/music/Popular+Songs"">Read more on Last.fm</a>","['Travis Scott - Topic', 'Revive Music', 'Cocktail Party Music', 'Dj Mix PROject']"
405,hiphop,Snoop Dogg,3777211,65506936,"Calvin Cordozar Broadus, Jr. (born October 20, 1971), known professionally as Snoop Dogg, is an American rapper, singer, songwriter, record producer, television personality and actor. His music career began in 1992 when he was discovered by Dr. Dre and featured on Dre's solo debut, ""Deep Cover"", and then on Dre's solo debut album, The Chronic. He has since sold over 23 million albums in the United States and 35 million albums worldwide.

Snoop's debut album, Doggystyle, produced by Dr. <a href=""https://www.last.fm/music/Snoop+Dogg"">Read more on Last.fm</a>","['Tha Dogg Pound', 'Dr. Dre', '2Pac', 'Ice Cube']"
409,hiphop,Pooh Shiesty,358029,10287319,"Pooh Shiesty (born 8 November 1999) is a Hip-hop artist and Rapper from Memphis, Tennessee, United States. He grew in Cane Creek Apartments along with his close member “Big 30”. His real name is Lontrell Donell Williams Jr. The young talent has hit hard in the music industry by his songs. As of his age, he has gained immense popularity in a short span of time. Pooh actually nailed it when he signed a contract with the controversial Rapper- Singer Gucci Manes label, 1017. <a href=""https://www.last.fm/music/Pooh+Shiesty"">Read more on Last.fm</a>","['BIG30', 'Big Scarr', 'Moneybagg Yo', 'Foogiano']"
